Date,Open,High,Low,Close,Adj Close,Volume
02-10-2006,10.728572,10.838572,10.614285,10.694285,7.239566,178159800
03-10-2006,10.635715,10.707143,10.455714,10.582857,7.164135,197677200
04-10-2006,10.585714,10.78,10.451428,10.768572,7.289855,207270700
05-10-2006,10.647142,10.88,10.59,10.69,7.236666,170970800
06-10-2006,10.631429,10.72,10.544286,10.602858,7.177672,116739700
09-10-2006,10.542857,10.725715,10.504286,10.661428,7.217321,109555600
10-10-2006,10.648571,10.654285,10.44,10.544286,7.138023,132897100
11-10-2006,10.488571,10.568571,10.371428,10.461429,7.081933,142963800
12-10-2006,10.515715,10.77,10.514286,10.751429,7.278249,148213800
13-10-2006,10.804286,10.982857,10.677143,10.717143,7.25504,171049200
16-10-2006,10.741428,10.84,10.684286,10.771428,7.291789,127173200
17-10-2006,10.72,10.752857,10.577143,10.612857,7.184444,120231300
18-10-2006,10.678572,10.767143,10.558572,10.647142,7.207653,283476900
19-10-2006,11.322857,11.421429,11.165714,11.284286,7.638971,378244300
20-10-2006,11.281428,11.427143,11.238571,11.421429,7.731811,159853400
23-10-2006,11.427143,11.7,11.392858,11.637143,7.877841,208126800
24-10-2006,11.601429,11.668571,11.457143,11.578571,7.83819,115803100
25-10-2006,11.621428,11.714286,11.572857,11.668571,7.899116,121303700
26-10-2006,11.7,11.8,11.59,11.741428,7.948436,108189200
27-10-2006,11.678572,11.778571,11.43,11.487143,7.776296,148741600
30-10-2006,11.427143,11.557143,11.357142,11.488571,7.777264,124979400
31-10-2006,11.635715,11.668571,11.461429,11.582857,7.841091,125368600
01-11-2006,11.585714,11.625714,11.194285,11.308572,7.655413,152798100
02-11-2006,11.274285,11.331429,11.214286,11.282857,7.638004,116370800
03-11-2006,11.337143,11.361428,11.112857,11.184286,7.571275,107972200
06-11-2006,11.278571,11.437143,11.204286,11.387143,7.708601,108644200
07-11-2006,11.492857,11.571428,11.447143,11.501429,7.785965,131483100
08-11-2006,11.431429,11.812857,11.412857,11.778571,7.973581,172729200
09-11-2006,11.842857,12.098572,11.731428,11.905714,8.059652,230763400
10-11-2006,11.935715,11.942857,11.785714,11.874286,8.038377,93466100
13-11-2006,11.888572,12.064285,11.805715,12.05,8.157328,112668500
14-11-2006,12.114285,12.142858,11.985714,12.142858,8.220186,147238700
15-11-2006,12.15,12.271428,12,12.007143,8.128314,163830800
