,company_name,job_title,min_experience,total_avg_sala,avg_salary_in_lacs,min_salary,max_salary,num_of_salaries
100,Gramener,Data Scientist,1,980000,9.8,7.5L,14.0L,22
156,Ugam Solution,Data Scientist,0,980000,9.8,5.0L,15.0L,16
168,Quantiphi Analytics Solutions,Data Scientist,0,980000,9.8,7.0L,16.0L,15
227,VMware Software,Business Analyst,3,980000,9.8,6.0L,15.0L,153
559,ANZ Banking Group,Data Analyst,2,980000,9.8,4.4L,15.6L,25
613,UST,Data Engineer,1,980000,9.8,3.5L,17.0L,27
674,Michelin,Data Engineer,0,980000,9.8,7.7L,11.3L,14
938,Evalueserve,Senior Business Analyst,2,980000,9.8,7.1L,13.8L,1000
1048,Birlasoft,Senior Business Analyst,3,980000,9.8,6.0L,19.0L,29
1075,Ebix Software India,Senior Business Analyst,4,980000,9.8,6.5L,13.5L,23
6,Wipro,Data Scientist,2,970000,9.7,4.5L,18.2L,225
60,Hexaware Technologies,Data Scientist,0,970000,9.7,4.5L,19.0L,32
98,Virtusa Consulting Services,Data Scientist,1,970000,9.7,4.8L,15.6L,22
138,Affine Analytics,Data Scientist,1,970000,9.7,6.3L,18.0L,18
209,L&T Infotech,Business Analyst,2,970000,9.7,4.5L,16.6L,271
219,Axis Bank,Business Analyst,1,970000,9.7,4.2L,15.0L,199
326,General Mills,Business Analyst,2,970000,9.7,7.0L,12.0L,48
352,Epsilon,Business Analyst,2,970000,9.7,6.0L,16.5L,41
372,Ericsson,Business Analyst,3,970000,9.7,5.1L,16.0L,38
625,SpringML,Data Engineer,1,970000,9.7,5.5L,14.0L,23
626,TEKsystems,Data Engineer,1,970000,9.7,6.0L,18.0L,23
628,Saama Technologies,Data Engineer,2,970000,9.7,6.0L,14.5L,22
705,HSBC,Data Engineer,1,970000,9.7,6.5L,18.0L,12
710,BYJU'S,Data Engineer,1,970000,9.7,4.5L,19.5L,11
977,Hexaware Technologies,Senior Business Analyst,4,970000,9.7,4.0L,19.0L,68
1258,Fidelity National Information Services,Senior Data Analyst,4,970000,9.7,6.5L,14.0L,8
131,Indegene,Data Scientist,0,960000,9.6,8.0L,14.5L,18
275,ZS,Business Analyst,1,960000,9.6,7.0L,12.8L,80
416,Myntra,Data Analyst,1,960000,9.6,4.8L,14.0L,98
484,Ford Motor,Data Analyst,1,960000,9.6,5.0L,13.1L,41
502,ABC,Data Analyst,1,960000,9.6,3.0L,24.0L,35
1016,Ameriprise Financial,Senior Business Analyst,4,960000,9.6,6.2L,16.3L,40
1163,The Smart Cube,Senior Data Analyst,1,960000,9.6,7.0L,12.0L,23
1180,Schneider Electric,Senior Data Analyst,2,960000,9.6,6.0L,17.0L,17
1521,Monsoon CreditTech,Machine Learning Engineer,0,960000,9.6,7.0L,12.0L,6
230,Mindtree,Business Analyst,2,950000,9.5,5.5L,15.0L,144
278,NatWest Group,Business Analyst,2,950000,9.5,3.5L,18.8L,79
459,American Express,Data Analyst,1,950000,9.5,3.2L,18.0L,50
583,Futurense Technologies,Data Engineer,1,950000,9.5,7.0L,12.0L,72
592,Enquero,Data Engineer,1,950000,9.5,6.2L,15.0L,41
650,NCR Corporation,Data Engineer,1,950000,9.5,6.2L,13.5L,18
1130,Ernst & Young,Senior Data Analyst,3,950000,9.5,6.0L,15.3L,71
1256,Xiaomi,Senior Data Analyst,5,950000,9.5,8.1L,10.5L,8
87,Bridgei2i Analytics Solutions,Data Scientist,2,940000,9.4,6.0L,14.4L,24
88,Larsen & Toubro Limited,Data Scientist,1,940000,9.4,4.5L,23.0L,24
148,TransOrg Analytics,Data Scientist,1,940000,9.4,7.0L,13.5L,16
466,Honeywell Technology Solutions,Data Analyst,2,940000,9.4,5.0L,13.0L,47
545,UBS,Data Analyst,1,940000,9.4,6.0L,15.5L,27
1120,BYJU'S,Senior Business Analyst,0,940000,9.4,6.0L,17.0L,17
1230,Dell EMC,Senior Data Analyst,3,940000,9.4,8.5L,11.1L,10
1283,HARMAN,Senior Data Analyst,5,940000,9.4,6.5L,12.2L,7
1517,Trantor,Machine Learning Engineer,1,940000,9.4,7.0L,16.5L,7
5,Infosys,Data Scientist,2,930000,9.3,4.5L,24.0L,228
37,Great Learning,Data Scientist,0,930000,9.3,7.0L,13.8L,44
64,eClerx,Data Scientist,2,930000,9.3,6.0L,16.7L,30
116,L&T Financial Services,Data Scientist,1,930000,9.3,8.2L,12.5L,20
147,Marlabs,Data Scientist,0,930000,9.3,5.5L,20.6L,16
231,Newgen Software Technologies,Business Analyst,2,930000,9.3,7.0L,11.5L,138
303,Nokia,Business Analyst,2,930000,9.3,5.5L,16.6L,56
662,TheMathCompany,Data Engineer,2,930000,9.3,7.0L,13.2L,16
668,AstraZeneca,Data Engineer,1,930000,9.3,6.8L,13.5L,15
1118,Infinite Computer Solutions,Senior Business Analyst,4,930000,9.3,6.0L,13.0L,17
1503,IBM,Machine Learning Engineer,3,930000,9.3,4.5L,13.2L,18
1515,Straive,Machine Learning Engineer,3,930000,9.3,4.5L,13.5L,8
400,InnovAccer,Data Analyst,0,920000,9.2,5.0L,13.0L,137
957,American Express,Senior Business Analyst,2,920000,9.2,5.0L,18.5L,118
1006,Etech Global Services,Senior Business Analyst,3,920000,9.2,7.0L,12.1L,46
1514,Reliance jio,Machine Learning Engineer,2,920000,9.2,5.5L,15.0L,8
109,NDS InfoServ,Data Scientist,0,910000,9.1,5.0L,12.0L,20
201,Capgemini,Business Analyst,2,910000,9.1,4.3L,15.0L,531
263,Deutsche Bank,Business Analyst,2,910000,9.1,3.3L,19.0L,89
1119,Clover Infotech,Senior Business Analyst,3,910000,9.1,6.5L,12.5L,17
1266,Merkle Sokrati,Senior Data Analyst,1,910000,9.1,7.8L,12.3L,8
1298,LearningMate Solutions,Senior Data Analyst,4,910000,9.1,8.0L,10.8L,6
1537,AAIC Technologies,Machine Learning Engineer,0,910000,9.1,6.0L,14.8L,5
46,Impact Analytics,Data Scientist,0,900000,9,7.0L,13.0L,38
74,Bristlecone,Data Scientist,1,900000,9,6.6L,11.5L,26
346,GlobalLogic,Business Analyst,2,900000,9,2.5L,20.0L,43
371,Bajaj Finserv,Business Analyst,1,900000,9,3.8L,13.0L,38
374,CitiusTech,Business Analyst,2,900000,9,6.4L,12.1L,37
489,Indegene,Data Analyst,1,900000,9,7.5L,10.9L,38
490,Cisco Systems,Data Analyst,3,900000,9,4.0L,21.7L,38
566,Accenture,Data Engineer,1,900000,9,5.0L,16.8L,332
582,HCL Technologies,Data Engineer,1,900000,9,3.5L,18.0L,79
614,Virtusa Consulting Services,Data Engineer,1,900000,9,4.2L,20.0L,27
750,HDFC Bank,Data Engineer,2,900000,9,6.5L,12.5L,8
961,Exl India,Senior Business Analyst,1,900000,9,6.8L,12.0L,109
1115,HCL Infosystems,Senior Business Analyst,3,900000,9,3.4L,15.0L,18
54,Mphasis,Data Scientist,2,890000,8.9,5.2L,15.0L,35
196,Infosys,Business Analyst,1,890000,8.9,4.4L,16.5L,692
224,Quantiphi Analytics Solutions,Business Analyst,0,890000,8.9,6.5L,13.0L,167
327,Yash Technologies,Business Analyst,4,890000,8.9,6.1L,12.3L,48
357,Maersk,Business Analyst,4,890000,8.9,5.0L,16.0L,40
620,Data Semantics,Data Engineer,3,890000,8.9,4.5L,15.5L,25
669,Amdocs,Data Engineer,0,890000,8.9,6.1L,13.0L,15
1203,Ericsson,Senior Data Analyst,2,890000,8.9,5.0L,13.0L,14
1225,Infosys BPM,Senior Data Analyst,2,890000,8.9,3.8L,17.0L,11
1460,Knoema IT Solutions,Senior Data Engineer,4,890000,8.9,5.3L,13.0L,5
220,Ernst & Young,Business Analyst,1,880000,8.8,4.0L,20.0L,198
234,Temenos,Business Analyst,2,880000,8.8,5.6L,12.2L,128
323,Vinculum Solutions,Business Analyst,1,880000,8.8,6.0L,13.0L,49
405,Tiger Analytics,Data Analyst,0,880000,8.8,7.5L,12.0L,120
425,Axtria,Data Analyst,0,880000,8.8,6.0L,13.5L,77
556,Target,Data Analyst,1,880000,8.8,2.9L,13.0L,25
942,EXL Service,Senior Business Analyst,2,880000,8.8,6.2L,12.0L,308
953,Conduent,Senior Business Analyst,4,880000,8.8,6.0L,13.0L,146
1190,Dynata,Senior Data Analyst,4,880000,8.8,7.5L,10.3L,16
1211,Hewlett-Packard Enterprise,Senior Data Analyst,3,880000,8.8,5.0L,17.7L,13
141,Happiest Minds Technologies,Data Scientist,1,870000,8.7,5.2L,14.0L,17
157,L&T Technology Services,Data Scientist,1,870000,8.7,4.3L,18.0L,16
839,NielsenIQ,Senior Data Scientist,3,870000,8.7,8.0L,9.4L,8
981,BNY Mellon,Senior Business Analyst,4,870000,8.7,5.1L,15.0L,63
1022,Tata Technologies,Senior Business Analyst,4,870000,8.7,6.2L,14.0L,37
1235,Collabera Technologies,Senior Data Analyst,2,870000,8.7,7.5L,10.5L,10
1359,Infosys,Senior Data Engineer,2,870000,8.7,4.5L,15.5L,13
4,Capgemini,Data Scientist,2,860000,8.6,4.8L,14.6L,300
137,Celebal Technologies,Data Scientist,0,860000,8.6,5.7L,13.0L,18
175,N+A,Data Scientist,0,860000,8.6,2.4L,15.0L,14
191,Wipro,Business Analyst,2,860000,8.6,4.2L,15.5L,1200
192,Cognizant,Business Analyst,1,860000,8.6,4.5L,14.0L,1100
250,Optum,Business Analyst,2,860000,8.6,4.8L,17.1L,100
1034,Mu Sigma,Senior Business Analyst,1,860000,8.6,6.3L,13.0L,32
1109,Cygnet Infotech,Senior Business Analyst,4,860000,8.6,5.5L,11.0L,19
1170,Amazon,Senior Data Analyst,2,860000,8.6,3.9L,25.5L,19
106,Sutherland Global Services,Data Scientist,1,850000,8.5,5.1L,12.3L,21
122,Confidential,Data Scientist,1,850000,8.5,4.1L,18.5L,19
169,Amdocs,Data Scientist,2,850000,8.5,6.0L,12.0L,15
249,BNY Mellon,Business Analyst,3,850000,8.5,4.5L,17.5L,101
335,Birlasoft,Business Analyst,2,850000,8.5,4.5L,15.0L,45
360,Larsen & Toubro Limited,Business Analyst,0,850000,8.5,3.8L,14.0L,40
683,Atos,Data Engineer,2,850000,8.5,3.7L,17.8L,13
877,V2 Solutions,Senior Data Scientist,2,850000,8.5,8.5L,8.6L,5
1033,Altisource,Senior Business Analyst,4,850000,8.5,5.2L,15.0L,33
1299,Encore Capital Group,Senior Data Analyst,3,850000,8.5,7.5L,9.1L,6
1434,Riskonnect,Senior Data Engineer,4,850000,8.5,7.0L,9.8L,5
599,Hewlett-Packard Enterprise,Data Engineer,2,840000,8.4,4.5L,18.0L,36
677,Mu Sigma,Data Engineer,1,840000,8.4,5.5L,12.0L,13
1300,MResult Services,Senior Data Analyst,5,840000,8.4,7.0L,9.0L,6
118,Lumiq.ai,Data Scientist,0,830000,8.3,6.0L,13.0L,20
197,IBM,Business Analyst,2,830000,8.3,4.0L,16.0L,662
200,American Express,Business Analyst,1,830000,8.3,3.0L,19.0L,539
236,Barclays Shared Services,Business Analyst,1,830000,8.3,3.8L,14.2L,127
255,UnitedHealth,Business Analyst,2,830000,8.3,5.0L,13.0L,95
279,IQVIA,Business Analyst,1,830000,8.3,4.5L,16.7L,78
287,RevGurus Info India,Business Analyst,0,830000,8.3,5.8L,11.0L,68
307,Exela Technologies,Business Analyst,3,830000,8.3,5.1L,12.0L,54
324,Confidential,Business Analyst,1,830000,8.3,4.2L,16.0L,49
1501,HCL Technologies,Machine Learning Engineer,0,830000,8.3,4.2L,14.0L,21
94,Cgi Group,Data Scientist,2,820000,8.2,4.2L,14.0L,23
110,Zensar Technologies,Data Scientist,1,820000,8.2,4.2L,15.5L,20
242,Allianz Technology,Business Analyst,3,820000,8.2,5.1L,12.0L,110
267,KPMG,Business Analyst,1,820000,8.2,3.6L,16.0L,87
282,ADP Solutions,Business Analyst,3,820000,8.2,5.3L,15.1L,74
355,Franklin Templeton Investments,Business Analyst,4,820000,8.2,4.7L,12.5L,40
475,Axis Bank,Data Analyst,0,820000,8.2,4.0L,14.0L,45
600,Reliance jio,Data Engineer,1,820000,8.2,4.5L,13.0L,35
623,DataWeave,Data Engineer,1,820000,8.2,5.5L,12.0L,23
715,InnovAccer,Data Engineer,1,820000,8.2,5.0L,15.0L,11
1090,MResult Services,Senior Business Analyst,4,820000,8.2,5.5L,12.0L,21
1233,Experis IT,Senior Data Analyst,5,820000,8.2,6.6L,9.8L,10
1418,Renault Nissan Technology & Business Centre India,Senior Data Engineer,5,820000,8.2,7.7L,9.1L,6
86,Course5,Data Scientist,1,810000,8.1,4.0L,12.7L,25
162,Sonata Software,Data Scientist,1,810000,8.1,4.8L,12.0L,15
334,Ford Motor,Business Analyst,2,810000,8.1,2.9L,14.0L,46
344,Reliance Industries,Business Analyst,2,810000,8.1,4.9L,14.4L,43
366,Factspan Analytics,Business Analyst,1,810000,8.1,6.5L,10.0L,39
664,Lumiq.ai,Data Engineer,0,810000,8.1,6.0L,9.5L,16
1373,Photon Interactive,Senior Data Engineer,4,810000,8.1,6.4L,10.0L,10
82,Birlasoft,Data Scientist,2,800000,8,4.0L,12.7L,25
270,Legato Health Technologies,Business Analyst,3,800000,8,5.0L,14.0L,85
322,IndusInd Bank,Business Analyst,2,800000,8,4.0L,14.3L,49
408,HSBC,Data Analyst,1,800000,8,3.4L,12.4L,117
709,Happiest Minds Technologies,Data Engineer,0,800000,8,4.0L,14.8L,11
747,Denodo Technologies,Data Engineer,0,800000,8,6.0L,10.5L,9
986,Genpact,Senior Business Analyst,3,800000,8,4.1L,16.4L,62
1172,Subex,Senior Data Analyst,1,800000,8,5.5L,11.0L,19
1173,Mindtree,Senior Data Analyst,2,800000,8,6.0L,12.6L,19
1174,S&P Global,Senior Data Analyst,3,800000,8,5.7L,11.0L,19
1178,KPMG,Senior Data Analyst,1,800000,8,4.2L,11.8L,18
1500,Cognizant,Machine Learning Engineer,1,800000,8,4.0L,15.2L,28
136,Indium Software,Data Scientist,1,790000,7.9,5.0L,12.0L,18
172,iOPEX Technologies,Data Scientist,1,790000,7.9,3.5L,12.0L,14
217,HDFC Bank,Business Analyst,2,790000,7.9,4.1L,12.0L,208
504,Sapient Corporation,Data Analyst,2,790000,7.9,5.0L,12.0L,35
538,ITC Infotech India,Data Analyst,0,790000,7.9,3.7L,16.0L,28
690,Cittabase Solutions,Data Engineer,3,790000,7.9,5.0L,10.3L,13
1010,Hewlett-Packard Enterprise,Senior Business Analyst,3,790000,7.9,3.6L,16.0L,42
1079,Provana,Senior Business Analyst,1,790000,7.9,5.5L,11.5L,23
0,TCS,Data Scientist,2,780000,7.8,4.5L,16.0L,841
193,Deloitte,Business Analyst,1,780000,7.8,5.0L,12.0L,991
262,ITC Infotech India,Business Analyst,1,780000,7.8,4.5L,14.0L,90
318,Better.com,Business Analyst,1,780000,7.8,6.0L,11.2L,51
373,Sonata Software,Business Analyst,1,780000,7.8,5.0L,11.5L,37
462,Mu Sigma,Data Analyst,1,780000,7.8,5.0L,14.5L,48
1018,Merilytics,Senior Business Analyst,0,780000,7.8,6.5L,9.5L,40
51,NTT DATA,Data Scientist,2,770000,7.7,5.0L,17.2L,36
112,KPIT Technologies,Data Scientist,1,770000,7.7,4.5L,15.0L,20
198,DXC Technology,Business Analyst,2,770000,7.7,4.1L,13.0L,580
265,Paytm,Business Analyst,1,770000,7.7,3.9L,15.0L,89
310,QualityKiosk Technologies,Business Analyst,2,770000,7.7,3.6L,13.0L,53
316,BYJU'S,Business Analyst,1,770000,7.7,4.0L,13.0L,51
331,Unisys,Business Analyst,2,770000,7.7,4.0L,12.0L,48
519,The Smart Cube,Data Analyst,0,770000,7.7,6.3L,9.0L,31
597,Brillio,Data Engineer,0,770000,7.7,4.5L,13.3L,38
630,Affine Analytics,Data Engineer,0,770000,7.7,6.0L,12.0L,22
936,TCS,Senior Business Analyst,3,770000,7.7,3.5L,14.0L,1100
1200,Oracle,Senior Data Analyst,3,770000,7.7,4.2L,15.0L,15
1219,Shadowfax Technologies,Senior Data Analyst,0,770000,7.7,6.3L,10.0L,11
1410,Axa XL,Senior Data Engineer,4,770000,7.7,7.0L,9.2L,7
7,Tech Mahindra,Data Scientist,2,760000,7.6,4.1L,15.4L,218
199,Tech Mahindra,Business Analyst,2,760000,7.6,3.8L,15.0L,575
257,Ramco Systems,Business Analyst,1,760000,7.6,4.5L,10.5L,94
260,Atos Syntel,Business Analyst,2,760000,7.6,4.0L,13.0L,92
387,IBM,Data Analyst,2,760000,7.6,4.0L,15.5L,297
393,Deloitte,Data Analyst,1,760000,7.6,4.3L,13.0L,202
1175,EXL Service,Senior Data Analyst,2,760000,7.6,4.0L,12.0L,18
1199,Paytm,Senior Data Analyst,3,760000,7.6,5.0L,11.0L,15
1261,Home Credit Finance,Senior Data Analyst,3,760000,7.6,4.8L,10.0L,8
151,Apexon,Data Scientist,2,750000,7.5,4.9L,10.8L,16
243,Kotak Mahindra Bank,Business Analyst,1,750000,7.5,3.0L,15.5L,106
567,Cognizant,Data Engineer,1,750000,7.5,4.5L,13.3L,292
739,Algonomy,Data Engineer,1,750000,7.5,5.0L,13.6L,9
1186,Synchrony,Senior Data Analyst,2,750000,7.5,5.0L,12.5L,16
1213,MakeMyTrip,Senior Data Analyst,4,750000,7.5,6.0L,9.0L,12
1274,Cartesian Consulting,Senior Data Analyst,1,750000,7.5,5.6L,11.0L,7
14,Mu Sigma,Data Scientist,1,740000,7.4,5.0L,12.0L,116
487,UST,Data Analyst,2,740000,7.4,3.8L,12.0L,40
540,FedEx Express,Data Analyst,0,740000,7.4,3.3L,12.0L,28
569,Capgemini,Data Engineer,1,740000,7.4,4.0L,13.5L,231
699,Searce Cosourcing Services,Data Engineer,1,740000,7.4,5.0L,12.5L,12
1056,CES,Senior Business Analyst,5,740000,7.4,5.2L,9.5L,27
1152,Course5,Senior Data Analyst,3,740000,7.4,5.1L,12.9L,29
1184,Ganit Business Solutions,Senior Data Analyst,0,740000,7.4,5.2L,10.5L,17
1252,Yodlee,Senior Data Analyst,4,740000,7.4,5.0L,9.0L,8
1534,Confidential,Machine Learning Engineer,1,740000,7.4,5.9L,9.0L,5
232,NTT DATA,Business Analyst,2,730000,7.3,4.5L,14.0L,133
417,IQVIA,Data Analyst,1,730000,7.3,4.1L,12.0L,96
551,Cerner,Data Analyst,1,730000,7.3,5.2L,10.5L,26
643,SG Analytics,Data Engineer,0,730000,7.3,5.2L,12.0L,19
663,Atos Syntel,Data Engineer,2,730000,7.3,3.8L,12.0L,16
1502,Tech Mahindra,Machine Learning Engineer,1,730000,7.3,3.9L,16.2L,20
1512,DXC Technology,Machine Learning Engineer,2,730000,7.3,4.0L,11.0L,8
646,LatentView Analytics,Data Engineer,0,720000,7.2,5.3L,12.0L,19
980,Deutsche Bank,Senior Business Analyst,4,720000,7.2,5.0L,12.5L,64
1183,NTT DATA,Senior Data Analyst,2,720000,7.2,4.0L,11.5L,17
68,Freelancer.com,Data Scientist,1,710000,7.1,3.0L,15.0L,29
332,Azentio,Business Analyst,0,710000,7.1,4.3L,11.0L,47
362,Hindustan Unilever,Business Analyst,2,710000,7.1,3.4L,10.7L,39
706,Bosch Global Software Technologies,Data Engineer,1,710000,7.1,3.8L,14.0L,11
1054,Barclays Shared Services,Senior Business Analyst,2,710000,7.1,4.0L,14.0L,27
1132,Wipro,Senior Data Analyst,2,710000,7.1,3.0L,11.7L,54
1133,Tech Mahindra,Senior Data Analyst,2,710000,7.1,4.0L,13.0L,53
1167,Toluna,Senior Data Analyst,3,710000,7.1,5.4L,9.0L,22
1214,Advantmed,Senior Data Analyst,3,710000,7.1,4.0L,12.0L,12
1260,Maersk,Senior Data Analyst,3,710000,7.1,5.0L,9.0L,8
124,Nielsen,Data Scientist,1,700000,7,6.0L,10.0L,19
189,Accenture,Business Analyst,1,700000,7,2.7L,14.7L,1900
264,Dell,Business Analyst,2,700000,7,4.6L,10.2L,89
296,Ebix Software India,Business Analyst,2,700000,7,4.5L,11.5L,60
342,Acidaes Solutions,Business Analyst,2,700000,7,5.0L,10.0L,43
350,Merilytics,Business Analyst,0,700000,7,5.5L,8.0L,42
359,Reliance Retail,Business Analyst,1,700000,7,3.5L,13.0L,40
514,Indium Software,Data Analyst,0,700000,7,4.0L,11.0L,32
530,General Mills,Data Analyst,0,700000,7,5.3L,9.2L,29
531,BYJU'S,Data Analyst,1,700000,7,5.0L,15.4L,29
973,Merkle Sokrati,Senior Business Analyst,1,700000,7,6.2L,8.4L,76
1236,SG Analytics,Senior Data Analyst,3,700000,7,6.0L,8.3L,10
1269,Axis Bank,Senior Data Analyst,0,700000,7,5.0L,8.3L,8
1280,Aon,Senior Data Analyst,2,700000,7,3.8L,12.2L,7
107,Prodapt Solutions,Data Scientist,1,690000,6.9,3.3L,16.0L,21
188,TCS,Business Analyst,2,690000,6.9,3.0L,12.0L,4200
212,Cgi Group,Business Analyst,2,690000,6.9,4.7L,11.0L,252
240,Mu Sigma,Business Analyst,1,690000,6.9,5.5L,9.0L,116
258,Tredence,Business Analyst,0,690000,6.9,6.1L,8.5L,92
301,NeoSoft Technologies,Business Analyst,1,690000,6.9,3.1L,10.0L,57
682,Oil Field Instrumentation,Data Engineer,6,690000,6.9,1.2L,11.1L,13
1212,S&P Global Market Intelligence,Senior Data Analyst,5,690000,6.9,4.9L,9.5L,13
1240,Randstad,Senior Data Analyst,3,690000,6.9,2.5L,12.0L,9
277,Reliance jio,Business Analyst,1,680000,6.8,3.6L,15.0L,79
285,WNS,Business Analyst,1,680000,6.8,3.8L,12.0L,69
302,NSE.IT,Business Analyst,1,680000,6.8,3.5L,12.5L,56
306,Affine Analytics,Business Analyst,0,680000,6.8,6.0L,8.3L,55
337,Lentra AI,Business Analyst,1,680000,6.8,4.1L,11.0L,45
590,Genpact,Data Engineer,1,680000,6.8,3.2L,14.0L,47
651,ITC Infotech India,Data Engineer,1,680000,6.8,4.1L,13.0L,18
687,Indium Software,Data Engineer,0,680000,6.8,3.6L,11.5L,13
1285,B3Intelligence,Senior Data Analyst,3,680000,6.8,4.0L,8.5L,7
153,Quest Global,Data Scientist,2,670000,6.7,4.8L,8.5L,16
206,ICICI Bank,Business Analyst,1,670000,6.7,4.0L,12.6L,326
222,Hewlett-Packard Enterprise,Business Analyst,2,670000,6.7,3.6L,11.5L,175
269,Zensar Technologies,Business Analyst,2,670000,6.7,4.1L,14.5L,85
414,KPMG,Data Analyst,1,670000,6.7,3.0L,12.0L,100
657,Bridgei2i Analytics Solutions,Data Engineer,0,670000,6.7,5.0L,10.0L,17
1093,MSC Technology India,Senior Business Analyst,3,670000,6.7,4.9L,8.7L,21
1222,Denave,Senior Data Analyst,2,670000,6.7,3.5L,9.8L,11
1303,Ninjacart,Senior Data Analyst,2,670000,6.7,6.0L,9.5L,6
1329,Mindtree,Senior Data Engineer,2,670000,6.7,5.8L,10.0L,36
1499,Infosys,Machine Learning Engineer,2,670000,6.7,4.3L,14.7L,28
1513,UST,Machine Learning Engineer,2,670000,6.7,5.0L,9.0L,8
123,Tata Technologies,Data Scientist,0,660000,6.6,4.8L,9.2L,19
194,HCL Technologies,Business Analyst,1,660000,6.6,2.3L,14.2L,714
300,CRMnext,Business Analyst,1,660000,6.6,5.0L,8.0L,58
345,Dell EMC,Business Analyst,2,660000,6.6,3.8L,10.1L,43
426,L&T Infotech,Data Analyst,1,660000,6.6,3.8L,14.5L,77
431,Hewlett-Packard Enterprise,Data Analyst,2,660000,6.6,3.5L,10.0L,72
572,Wipro,Data Engineer,1,660000,6.6,4.0L,14.5L,175
577,DXC Technology,Data Engineer,1,660000,6.6,3.8L,12.0L,122
639,Lumen Technologies,Data Engineer,1,660000,6.6,4.5L,9.2L,20
1215,Sutherland Global Services,Senior Data Analyst,2,660000,6.6,5.0L,8.5L,12
1302,Williams Lea Tag,Senior Data Analyst,5,660000,6.6,5.0L,9.0L,6
1538,CIMCON Software,Machine Learning Engineer,2,660000,6.6,3.0L,10.0L,5
195,Evalueserve,Business Analyst,1,650000,6.5,4.7L,8.5L,693
451,Oyo Rooms,Data Analyst,1,650000,6.5,3.4L,11.5L,54
460,Bajaj Finserv,Data Analyst,0,650000,6.5,2.0L,12.0L,49
575,Tech Mahindra,Data Engineer,2,650000,6.5,4.2L,13.0L,130
1011,WNS,Senior Business Analyst,2,650000,6.5,3.0L,13.6L,42
1135,Ugam Solution,Senior Data Analyst,2,650000,6.5,3.5L,10.5L,52
179,HTC Global Services,Data Scientist,1,640000,6.4,3.6L,10.0L,13
190,Genpact,Business Analyst,1,640000,6.4,4.5L,9.0L,1700
238,Tata Technologies,Business Analyst,3,640000,6.4,4.3L,8.9L,119
272,GEP Worldwide,Business Analyst,0,640000,6.4,5.0L,8.5L,84
289,Etech Global Services,Business Analyst,1,640000,6.4,4.4L,8.4L,67
510,Hexaware Technologies,Data Analyst,1,640000,6.4,0.2L,14.0L,33
593,DataMetica,Data Engineer,0,640000,6.4,4.0L,10.7L,41
1265,S&P Capital IQ,Senior Data Analyst,3,640000,6.4,5.0L,9.2L,8
229,Exl India,Business Analyst,0,630000,6.3,4.5L,8.6L,147
338,N+A,Business Analyst,1,630000,6.3,2.5L,11.0L,44
411,PwC,Data Analyst,0,630000,6.3,3.2L,12.0L,108
412,LatentView Analytics,Data Analyst,0,630000,6.3,5.0L,9.0L,104
480,Schneider Electric,Data Analyst,1,630000,6.3,3.0L,12.1L,42
547,Reliance Industries,Data Analyst,1,630000,6.3,2.2L,9.0L,26
1179,Zensar Technologies,Senior Data Analyst,4,630000,6.3,4.0L,10.6L,17
1198,JLL,Senior Data Analyst,3,630000,6.3,4.5L,13.0L,15
1498,Capgemini,Machine Learning Engineer,2,630000,6.3,4.5L,12.1L,29
1535,Taglr Technologies,Machine Learning Engineer,0,630000,6.3,4.5L,10.0L,5
203,EXL Service,Business Analyst,0,620000,6.2,4.5L,8.5L,476
529,Caterpillar Inc,Data Analyst,1,620000,6.2,3.6L,10.5L,29
1009,IBS Software Services,Senior Business Analyst,2,620000,6.2,4.3L,8.3L,42
1076,Northern Trust Operating Services,Senior Business Analyst,3,620000,6.2,4.9L,9.5L,23
1127,Cognizant,Senior Data Analyst,2,620000,6.2,3.0L,15.2L,109
1134,HCL Technologies,Senior Data Analyst,2,620000,6.2,3.0L,10.0L,53
1182,Genpact,Senior Data Analyst,3,620000,6.2,4.3L,11.0L,17
1244,Equifax,Senior Data Analyst,3,620000,6.2,3.5L,8.5L,9
1289,Zomato,Senior Data Analyst,0,620000,6.2,5.5L,7.3L,7
215,Conduent,Business Analyst,2,610000,6.1,4.0L,9.4L,225
266,3i Infotech,Business Analyst,1,610000,6.1,3.9L,8.8L,88
281,ValueMomentum,Business Analyst,1,610000,6.1,3.8L,9.5L,75
313,Polestar Solutions & Services India,Business Analyst,0,610000,6.1,4.2L,8.8L,52
684,Bitwise Solutions,Data Engineer,0,610000,6.1,3.8L,9.0L,13
1092,Allsec Technologies,Senior Business Analyst,3,610000,6.1,5.2L,7.5L,21
1136,Cerner,Senior Data Analyst,2,610000,6.1,3.0L,15.4L,52
1181,WNS,Senior Data Analyst,2,610000,6.1,4.0L,8.0L,17
1205,E2OPEN,Senior Data Analyst,5,610000,6.1,4.9L,8.3L,14
1307,Athenahealth Technology,Senior Data Analyst,6,610000,6.1,5.6L,6.6L,6
1528,Sri Ayyan Kendra Vidyalaya International School,Machine Learning Engineer,1,610000,6.1,2.3L,10.0L,5
237,Bridgei2i Analytics Solutions,Business Analyst,0,600000,6,5.0L,8.0L,124
325,Infosys BPM,Business Analyst,0,600000,6,2.5L,13.0L,49
464,Paytm,Data Analyst,2,600000,6,3.0L,12.5L,48
494,Harman Connected Services,Data Analyst,2,600000,6,3.5L,12.6L,37
511,Ganit Business Solutions,Data Analyst,0,600000,6,6.0L,6.0L,33
