Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities,Year
ASWINI DUTT CHALASANI,TDP,0,Others,53,Vijayawada + Andhra Pradesh,26950458,5935000,2004
DOMAKONDA RAVI KUMAR,IND,0,10th Pass,36,Vijayawada + Andhra Pradesh,405000,0,2004
DONEPUDI SRINIVAS,IND,0,Others,41,Vijayawada + Andhra Pradesh,131000,0,2004
GATLA VENKATA NARAYANA REDDY,IND,0,Post Graduate,41,Vijayawada + Andhra Pradesh,615000,0,2004
GOTTUMUKKALA SIVA PRASADARAJU,IND,0,Post Graduate,42,Vijayawada + Andhra Pradesh,16000,0,2004
JAKKA TARAKA MALLIKARJUNA RAO,IND,0,Graduate,37,Vijayawada + Andhra Pradesh,45400,0,2004
RAMACHANDRA RAO. J,TRS,0,Post Graduate,36,Vijayawada + Andhra Pradesh,220000,0,2004
SOMESWARA RAO MADALA,IND,0,Post Graduate,41,Vijayawada + Andhra Pradesh,10000,0,2004
SYED MOINUDDIN,IND,0,Post Graduate,60,Vijayawada + Andhra Pradesh,1055000,0,2004
BALASHOWRY VALLABHANENI   Winner ,INC,0,Graduate,36,Tenali + Andhra Pradesh,103238914,350000,2004
DILIP RAAJA DONEPUDI,BSP,0,Graduate,44,Tenali + Andhra Pradesh,0,0,2004
DUGGIRALA RAJA  RAMKUMAR,IND,0,Post Graduate,53,Tenali + Andhra Pradesh,1500000,0,2004
MANDALI SUBRAHMANYAM,IND,0,Post Graduate,75,Tenali + Andhra Pradesh,1560000,0,2004
NARASIMHA REDDY TERA,TRS,0,Post Graduate,42,Tenali + Andhra Pradesh,25000,0,2004
UMMAREDDY VENKATESWARLU,TDP,0,Post Graduate,69,Tenali + Andhra Pradesh,5975599,0,2004
VENKATESWARLU PALLA,IND,0,Not Given,62,Tenali + Andhra Pradesh,848200,0,2004
RAYAPATI  SAMBASIVA RAO   Winner ,INC,0,Not Given,61,Guntur + Andhra Pradesh,48198297,9889900,2004
JUPALLI HANUMANTHA RAO GOUD,BSP,0,10th Pass,39,Guntur + Andhra Pradesh,1250000,0,2004
MUVVA VENKAT RAO,IND,0,Post Graduate,72,Guntur + Andhra Pradesh,5890000,0,2004
VENKATESWARLU GUNDI,TRS,0,Others,38,Guntur + Andhra Pradesh,805000,0,2004
Y. V. RAO,TDP,0,Graduate,71,Guntur + Andhra Pradesh,27826692,3977714,2004
DAGGUBATI PURANDARESWARI   Winner ,INC,0,Others,44,Bapatla + Andhra Pradesh,40907640,5212201,2004
CHELLAMALLA VENKATA REDDY,TRS,0,Graduate,0,Bapatla + Andhra Pradesh,70000,0,2004
DAGGUBATI RAMANAIDU,TDP,0,Graduate,67,Bapatla + Andhra Pradesh,98790428,0,2004
INAGANTI APPARAO,IND,0,Others,40,Bapatla + Andhra Pradesh,3298000,200000,2004
PRATHIPATI SRINIVASU,IND,0,Graduate,0,Bapatla + Andhra Pradesh,0,0,2004
MEKAPATI RAJAMOHAN REDDY   Winner ,INC,0,Graduate Professional,59,Narasaraopet + Andhra Pradesh,63961169,0,2004
GONTU VENKATESWARA REDDY,IND,0,Graduate,59,Narasaraopet + Andhra Pradesh,1075000,0,2004
MADDI LAKSHMAIAH,TDP,0,Others,74,Narasaraopet + Andhra Pradesh,169062689,157955,2004
PULIMAMIDI NARSIMHA REDDY,TRS,0,Graduate,40,Narasaraopet + Andhra Pradesh,45000,0,2004
PULIMI VENKATARAMI REDDY,IND,0,5th Pass,42,Narasaraopet + Andhra Pradesh,80400,20000,2004
SREENIVASULU REDDY MAGUNTA   Winner ,INC, 2 ,Graduate,49,Ongole + Andhra Pradesh,141768943,0,2004
ALLA RAMA CHANDRA REDDY,IND,0,5th Pass,57,Ongole + Andhra Pradesh,900000,25000,2004
BATHULA VIJAYA BHARATHI,TDP,0,Not Given,0,Ongole + Andhra Pradesh,0,0,2004
BOYALLA RANGANAYAKULU,IND,0,Not Given,0,Ongole + Andhra Pradesh,1200000,0,2004
GUDIPUDI NARASIMHA RAO,IND,0,Not Given,0,Ongole + Andhra Pradesh,20000,300000,2004
NALAMALAPU LAKSHMI NARASA REDDY,IND,0,Not Given,35,Ongole + Andhra Pradesh,181000,0,2004
RAMA RAO DAGGUPATI,IND,0,Not Given,59,Ongole + Andhra Pradesh,130000,0,2004
SATISH KUMAR,IND,0,Post Graduate,58,Ongole + Andhra Pradesh,40000,0,2004
VENU BABU NAIDU KAVURI,IND,0,Not Given,27,Ongole + Andhra Pradesh,303270,88000,2004
PANABAKA LAKSHMI   Winner ,INC,0,Post Graduate,46,Nellore + Andhra Pradesh,5395726,0,2004
BALAKONDAIAH KARUPOTALA,BJP,0,Graduate,65,Nellore + Andhra Pradesh,461481,0,2004
DAVA PENCHALA RAO,IND,0,Others,0,Nellore + Andhra Pradesh,100000,24500,2004
MADDELA BRAHMANAIDU,IND,0,Not Given,32,Nellore + Andhra Pradesh,22000,0,2004
MALAKONDAIAH.Y,SP,0,Post Graduate,62,Nellore + Andhra Pradesh,62000,0,2004
MANGALAPURI VENKATESWARLU,BRPP,0,Graduate,54,Nellore + Andhra Pradesh,67500,39646,2004
MARLAPATI  VEMAIAH,BSP,0,Graduate,37,Nellore + Andhra Pradesh,0,0,2004
OURUVURU KRISHNAIAH,IND,0,10th Pass,40,Nellore + Andhra Pradesh,0,0,2004
VENKATA RAM RAVINUTHALA,IND,0,Not Given,53,Nellore + Andhra Pradesh,20000,0,2004
CHINTA MOHAN   Winner ,INC,0,Graduate Professional,49,Tirupathi + Andhra Pradesh,3982900,1325256,2004
DR. N. VENKATA SWAMY,BJP,0,Post Graduate,72,Tirupathi + Andhra Pradesh,7127164,0,2004
K. ESWAR RAO,TRS,0,12th Pass,27,Tirupathi + Andhra Pradesh,0,0,2004
KATTAMANCHI PRABHAKAR,IND,0,Post Graduate,35,Tirupathi + Andhra Pradesh,70000,0,2004
D.K. AUDIKESAVULU   Winner ,TDP,0,Not Given,63,Chittoor + Andhra Pradesh,670576468,0,2004
A.MALLA RAO,TRS,0,Others,42,Chittoor + Andhra Pradesh,355000,0,2004
D.A NAGARAJU,IND,0,Not Given,46,Chittoor + Andhra Pradesh,0,0,2004
DR. RAVURI VENKATA SWAMY,INC,0,Graduate,54,Chittoor + Andhra Pradesh,11815429,228886,2004
S.SAHADEVA REDDY,IND,0,Post Graduate,31,Chittoor + Andhra Pradesh,210000,0,2004
SHAIK JEELANI BASHA,IND,0,Not Given,54,Chittoor + Andhra Pradesh,0,0,2004
ANNAYYAGARI SAI PRATHAP   Winner ,INC,0,12th Pass,59,Rajampet + Andhra Pradesh,9709190,1160909,2004
ASHOKA RAO PEECHARA,TRS,0,12th Pass,47,Rajampet + Andhra Pradesh,488000,0,2004
GUNIPATI RAMAIAH,TDP,0,10th Pass,42,Rajampet + Andhra Pradesh,4239986,606000,2004
HAJI MD. AZAM SHAIK,IND,0,10th Pass,76,Rajampet + Andhra Pradesh,30000,37000,2004
MUKKA NARASIMHA REDDY,JP,0,5th Pass,43,Rajampet + Andhra Pradesh,4242000,0,2004
Y.S. VIVEKANANDA REDDY   Winner ,INC,0,Graduate,51,Cuddapah + Andhra Pradesh,36227380,0,2004
B.NARAYANA REDDY,RPI,0,Not Given,42,Cuddapah + Andhra Pradesh,1507000,27000,2004
C.BALAVARADA REDDY,IND,0,Others,39,Cuddapah + Andhra Pradesh,130000,0,2004
C.GOPI NARASIMHA REDDY,IND,0,Graduate,28,Cuddapah + Andhra Pradesh,20000,20000,2004
G.RAVINDRANATHA REDDY,JP,0,8th Pass,53,Cuddapah + Andhra Pradesh,1811500,310000,2004
INDI REDDY THIMMA REDDY,RJD, 2 ,Not Given,38,Cuddapah + Andhra Pradesh,1150000,180000,2004
KONDABOINA SREENIVASULU K,PPOI,0,Not Given,35,Cuddapah + Andhra Pradesh,0,0,2004
N BHASKARA REDDY,PP,0,Not Given,0,Cuddapah + Andhra Pradesh,381000,20000,2004
O.SUBBA REDDY,Akhil Bharatiya Jan Sangh,0,Others,54,Cuddapah + Andhra Pradesh,408000,30000,2004
PECHARA VENKATESHWAR RAO,TRS,0,Graduate,36,Cuddapah + Andhra Pradesh,1250000,0,2004
PUTHA RAMAPRASADA REDDY,Ambedkar National Congress,0,8th Pass,37,Cuddapah + Andhra Pradesh,50000,0,2004
SIVANATHA REDDY CHADIPIRALLA,NTRTDP(LP), 3 ,10th Pass,40,Cuddapah + Andhra Pradesh,1710000,86755,2004
T BHASKAR REDDY,IND,0,10th Pass,49,Cuddapah + Andhra Pradesh,921500,200000,2004
VENKATA MYSURA REDDY MULE,TDP, 1 ,Others,55,Cuddapah + Andhra Pradesh,1485000,0,2004
VITTA SUBBA RAO,IND,0,Post Graduate,64,Cuddapah + Andhra Pradesh,524324,111900,2004
NIZAMODDIN   Winner ,INC,0,Graduate,50,Hindupur + Andhra Pradesh,1405000,200779,2004
B. SURENDER KUMAR,TRS,0,Graduate,31,Hindupur + Andhra Pradesh,70000,0,2004
B.K.PARDHASARATHI,TDP,0,Graduate,45,Hindupur + Andhra Pradesh,4306482,2196288,2004
SMT DESAI REDDY PRABHAVATHI,IND,0,Not Given,44,Hindupur + Andhra Pradesh,570000,0,2004
ANANTHA VENKATA RAMI REDDY   Winner ,INC,0,Post Graduate,47,Anantapur + Andhra Pradesh,3890000,437636,2004
A. JAGAN MOHAN RAO,TRS,0,Graduate,32,Anantapur + Andhra Pradesh,505000,0,2004
B. S. AMARNATH,IND,0,Graduate,42,Anantapur + Andhra Pradesh,33698,0,2004
GADDALA NAGABHUSHANAM,BSP,0,Graduate,41,Anantapur + Andhra Pradesh,97000,9000,2004
K. VENKATESULU,PPOI,0,12th Pass,44,Anantapur + Andhra Pradesh,54000,0,2004
KALAVA SRINIVASULU,TDP,0,Post Graduate,39,Anantapur + Andhra Pradesh,300320,88000,2004
YATHAM POTHALAIAH,IND,0,Not Given,32,Anantapur + Andhra Pradesh,120000,0,2004
KOTLA JAYASURYA PRAKASHA REDDY   Winner ,INC,0,Graduate,52,Kurnool + Andhra Pradesh,15941801,681000,2004
DR. PARAMESHWAR REDDY,PPOI,0,Graduate Professional,36,Kurnool + Andhra Pradesh,78000,0,2004
GIRI NIVARTHI RAO YADAV,IND,0,Post Graduate,52,Kurnool + Andhra Pradesh,4842200,0,2004
JAMES,IND,0,12th Pass,39,Kurnool + Andhra Pradesh,10000,0,2004
K. V. KRISHNA KUMAR,IND, 1 ,Graduate,26,Kurnool + Andhra Pradesh,50000,0,2004
KAMBALAPADU EDIGA KRISHNAMURTHI,TDP,0,Not Given,65,Kurnool + Andhra Pradesh,32496805,18682834,2004
R. V. MOHANA REDDY,JP,0,Graduate,42,Kurnool + Andhra Pradesh,235000,0,2004
REDDIPOGU DAVID,BSP,0,Not Given,47,Kurnool + Andhra Pradesh,537500,720000,2004
T. SESHAPHANI,IND,0,12th Pass,34,Kurnool + Andhra Pradesh,2000,0,2004
V. RAVINDER RAO,TRS,0,Not Given,35,Kurnool + Andhra Pradesh,0,0,2004
S. P. Y. REDDY   Winner ,INC,0,Graduate Professional,54,Nandyal + Andhra Pradesh,64646900,13374000,2004
A. C  V. SUBBAIAH,BSP,0,Graduate,40,Nandyal + Andhra Pradesh,100000,0,2004
BHUMA SHOBHA NAGI REDDY,TDP,0,12th Pass,34,Nandyal + Andhra Pradesh,34003688,4819821,2004
BUDDA REDDY SRINIVASA REDDY,IND,0,Not Given,33,Nandyal + Andhra Pradesh,6686000,2300000,2004
INJETI KRISHNA REDDY,IND, 2 ,Not Given,40,Nandyal + Andhra Pradesh,3050000,30000,2004
LAKU OBULESU,IND,0,Not Given,42,Nandyal + Andhra Pradesh,227000,200000,2004
MALA GUNAM PALLE GOKARI,IND,0,Not Given,49,Nandyal + Andhra Pradesh,90000,0,2004
RAMAKRISHNA REDDY. S,IND,0,Not Given,40,Nandyal + Andhra Pradesh,1480000,201500,2004
S. VASUDEV PRASAD,TRS,0,Not Given,29,Nandyal + Andhra Pradesh,0,0,2004
DR.MANDA JAGANNATH   Winner ,TDP,0,Post Graduate,52,Nagarkurnool + Andhra Pradesh,6545314,2339000,2004
DR. G.RAGHAVULU,IND,0,Others,47,Nagarkurnool + Andhra Pradesh,135000,170000,2004
K.S.RATNAM,IND,0,Not Given,46,Nagarkurnool + Andhra Pradesh,6897500,506545,2004
P. LALAIAH,BSP,0,Graduate,60,Nagarkurnool + Andhra Pradesh,50000,0,2004
P.BHAGAVANTHU,IND,0,Not Given,28,Nagarkurnool + Andhra Pradesh,0,0,2004
D. VITTAL RAO   Winner ,INC,0,Graduate,53,Mahabubnagar + Andhra Pradesh,65075830,3000000,2004
G. RAMCHANDRAIAH YADAV,BSP,0,Others,47,Mahabubnagar + Andhra Pradesh,182,0,2004
MOHD. MAZHER HUSSAIN,Muslim League Kerala State Committee,0,Not Given,52,Mahabubnagar + Andhra Pradesh,0,0,2004
SMT. GUNDALA VIJAYA LAKSHMI,PPOI,0,12th Pass,56,Mahabubnagar + Andhra Pradesh,50000,0,2004
YELKOTI YELLA REDDY,TDP,0,12th Pass,64,Mahabubnagar + Andhra Pradesh,1904000,189910,2004
ASADUDDIN OWAISI   Winner ,AIMIM, 3 ,Graduate Professional,37,Hyderabad + Andhra Pradesh,3902342,0,2004
BHAGWAN DAS,IND,0,Others,45,Hyderabad + Andhra Pradesh,102000,0,2004
G.SUBASH CHANDERJI,BJP,0,Others,51,Hyderabad + Andhra Pradesh,338000,0,2004
KONDA LAKSHMA REDDY,INC,0,Graduate,56,Hyderabad + Andhra Pradesh,1025000,0,2004
MAJEEDULLAH KHAN @ FARHAT KHAN,MBT,0,12th Pass,36,Hyderabad + Andhra Pradesh,700000,0,2004
MOHSIN-BIN-HUSSAIN AL-KASARI,IND,0,Others,28,Hyderabad + Andhra Pradesh,4715000,0,2004
SALAHUDDIN AHMED S.K.,IND,0,Not Given,50,Hyderabad + Andhra Pradesh,946744,0,2004
SMT.G.SHOBHA RANI,BSP,0,Others,41,Hyderabad + Andhra Pradesh,3900,250000,2004
SMT.VARSHA DHAWAN,PPOI,0,12th Pass,48,Hyderabad + Andhra Pradesh,0,0,2004
SYED GAFFAR,IND,0,Not Given,40,Hyderabad + Andhra Pradesh,0,0,2004
M. ANJAN KUMAR YADAV   Winner ,INC,0,12th Pass,39,Secunderabad + Andhra Pradesh,4250700,810500,2004
ABDUS SATTAR MUJAHED,Muslim League Kerala State Committee,0,Not Given,37,Secunderabad + Andhra Pradesh,80000,0,2004
ACHANTA BAPIRAJU,IND,0,Graduate,64,Secunderabad + Andhra Pradesh,281447,0,2004
BANDARU DATTATRAYA,BJP,0,Graduate,57,Secunderabad + Andhra Pradesh,7363517,0,2004
H.K. JAISWAL,IND,0,Not Given,62,Secunderabad + Andhra Pradesh,0,0,2004
HUMERA AZIZ,AIMIM,0,Graduate,34,Secunderabad + Andhra Pradesh,381000,0,2004
KAILASH CHANDRA,IND,0,12th Pass,64,Secunderabad + Andhra Pradesh,0,0,2004
M.D. PAUL VEDANTH,BSP,0,Graduate,44,Secunderabad + Andhra Pradesh,0,0,2004
MEGHA MURALI,PPOI,0,Not Given,0,Secunderabad + Andhra Pradesh,0,0,2004
N. CHANDRA SHEKAR,MCPI(S),0,10th Pass,47,Secunderabad + Andhra Pradesh,0,0,2004
PADM YADAGIRI,IND,0,Not Given,0,Secunderabad + Andhra Pradesh,0,0,2004
SEELAM NARAYANA,IND,0,Post Graduate,40,Secunderabad + Andhra Pradesh,2548000,3602500,2004
SYED NAWAZ AHMED,IND,0,10th Pass,42,Secunderabad + Andhra Pradesh,0,0,2004
SARVEY SATHYANARAYANA   Winner ,INC,0,Graduate Professional,49,Siddipet + Andhra Pradesh,1110000,480000,2004
A. NARENDRA   Winner ,TRS,0,Graduate,49,Medak + Andhra Pradesh,2020000,500000,2004
K. LAXMAIAH YADAV,IND,0,Graduate,45,Medak + Andhra Pradesh,180000,0,2004
MD. ULFATHALI,IND,0,Not Given,62,Medak + Andhra Pradesh,200000,0,2004
NALLA SURYAPRAKASH,BSP,0,Graduate,43,Medak + Andhra Pradesh,10000,0,2004
P RAMACHANDRA REDDY,BJP,0,Post Graduate,73,Medak + Andhra Pradesh,6454939,640392,2004
P. JEEVULA NAIK,IND,0,5th Pass,57,Medak + Andhra Pradesh,2379500,0,2004
MADHU GOUD YASKHI   Winner ,INC,0,Post Graduate,45,Nizamabad + Andhra Pradesh,142718537,32560000,2004
BAISA RAMADASU,IND,0,12th Pass,48,Nizamabad + Andhra Pradesh,11100,0,2004
SYED YOUSUF ALI,TDP,0,Not Given,49,Nizamabad + Andhra Pradesh,11801000,200000,2004
YEDLA RAMU,BSP,0,Post Graduate,48,Nizamabad + Andhra Pradesh,5000,0,2004
MADHUSUDHAN REDDY THAKKALA   Winner ,TRS,0,Graduate Professional,59,Adilabad + Andhra Pradesh,7550000,120000,2004
DR S VENUGOPALA CHARY,TDP,0,Others,42,Adilabad + Andhra Pradesh,11580000,1247053,2004
MOTHE BARIK RAO,PRBP,0,Graduate,32,Adilabad + Andhra Pradesh,0,30000,2004
NAINALA GOVERDHAN,IND,0,Post Graduate,30,Adilabad + Andhra Pradesh,0,0,2004
G. VENKAT SWAMY   Winner ,INC,0,10th Pass,76,Peddapalli + Andhra Pradesh,19464700,0,2004
DR.MT. C. SUGUNA,TDP,0,Post Graduate,48,Peddapalli + Andhra Pradesh,50279356,0,2004
KAMILLA JAYA RAO,IND, 1 ,12th Pass,38,Peddapalli + Andhra Pradesh,0,0,2004
MADDELA ODELU,IND,0,Not Given,27,Peddapalli + Andhra Pradesh,478000,60000,2004
K. CHANDRA SHAKHER RAO   Winner ,TRS,0,Graduate,51,Karimnagar + Andhra Pradesh,8598858,2559507,2004
CHENNAMANENI VIDYASAGAR RAO,BJP,0,Graduate Professional,61,Karimnagar + Andhra Pradesh,5196600,0,2004
KOTHAPALLI SANDRI MENAYYA,BSP,0,Graduate,69,Karimnagar + Andhra Pradesh,1815000,400000,2004
MAMIDIPALLI GANGARAJAM,IND,0,12th Pass,50,Karimnagar + Andhra Pradesh,72000,0,2004
B.VINOD KUMAR   Winner ,TRS,0,Graduate,45,Hanamkonda + Andhra Pradesh,10011716,0,2004
CHADA SURESH REDDY,TDP,0,Graduate,45,Hanamkonda + Andhra Pradesh,23665000,120000,2004
DR.DHARMAPUR SAMPATH RAJARAM YADAV,IND,0,Others,52,Hanamkonda + Andhra Pradesh,7700000,0,2004
BELLAIAH TEJAVATH,IND,0,Not Given,52,Warangal + Andhra Pradesh,0,0,2004
BODAKUNTI VENKATESHWARLU,TDP,0,Graduate,47,Warangal + Andhra Pradesh,6933697,3926747,2004
GADE JHANSI,IND,0,Graduate,40,Warangal + Andhra Pradesh,0,0,2004
MAMIDALA ELIA,BSP,0,Post Graduate,59,Warangal + Andhra Pradesh,3150000,0,2004
MUMJALA BIKSHAPATHI,IND,0,Graduate,29,Warangal + Andhra Pradesh,0,0,2004
RENUKA CHOWDHURY   Winner ,INC, 1 ,Post Graduate,49,Khammam + Andhra Pradesh,136912161,300414,2004
ARUNA CHANDRA,IND,0,Not Given,44,Khammam + Andhra Pradesh,200000,0,2004
BANOTH SOMLA NAIK,IND,0,Others,58,Khammam + Andhra Pradesh,4460000,306157,2004
BURRA VENKANNA,IND,0,5th Pass,39,Khammam + Andhra Pradesh,54000,3000,2004
NALAJALA SAROJA,PPOI,0,Not Given,46,Khammam + Andhra Pradesh,2685000,0,2004
NAMA NAGESWARA RAO,TDP,0,12th Pass,45,Khammam + Andhra Pradesh,3683000,0,2004
NAMA NAIK ISLAVATH,IND,0,Others,43,Khammam + Andhra Pradesh,160000,0,2004
PADIGA YERRAIAH,IND,0,10th Pass,60,Khammam + Andhra Pradesh,238000,0,2004
PITTALA VENKATA NARASAIAH MUDIRA,MRS,0,10th Pass,49,Khammam + Andhra Pradesh,635000,50000,2004
SURAVARAM SUDHAKAR REDDY   Winner ,CPI, 1 ,Graduate Professional,62,Nalgonda + Andhra Pradesh,1990000,962600,2004
A.NAGESWARA RAO,PPOI,0,Graduate,54,Nalgonda + Andhra Pradesh,645000,0,2004
GUMMI BAKKA REDDY,IND,0,Not Given,60,Nalgonda + Andhra Pradesh,125000,0,2004
GYARA PRATHAP,IND,0,10th Pass,41,Nalgonda + Andhra Pradesh,800000,0,2004
NALLU INDRASENA REDDY,BJP,0,Post Graduate,53,Nalgonda + Andhra Pradesh,16242000,0,2004
