Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities,Year
MANORANJAN BHAKTA   Winner ,INC,0,Post Graduate,65,Andaman & Nicobar Islands + Andaman & Nicobar Islands,5926740,272061,2004
A K BISWAS,BSP,0,Graduate,61,Andaman & Nicobar Islands + Andaman & Nicobar Islands,7876500,65000,2004
ASIT BARAN DUTTA,IND,0,Graduate,50,Andaman & Nicobar Islands + Andaman & Nicobar Islands,3070000,0,2004
BISHNU PADA RAY,BJP,0,Graduate,54,Andaman & Nicobar Islands + Andaman & Nicobar Islands,1250619,128710,2004
DEEPAK BISWAS,IND,0,Not Given,28,Andaman & Nicobar Islands + Andaman & Nicobar Islands,3000,0,2004
DR SHANMUGAM,LJNSP,0,Doctorate,66,Andaman & Nicobar Islands + Andaman & Nicobar Islands,6166416,67070,2004
GOUR CHANDRA MAJUMDER,IND,0,Graduate,37,Andaman & Nicobar Islands + Andaman & Nicobar Islands,36200,0,2004
K KALIMUTHU,IND, 1 ,8th Pass,51,Andaman & Nicobar Islands + Andaman & Nicobar Islands,472440,73878,2004
K PERUMAL,SWD,0,Literate,65,Andaman & Nicobar Islands + Andaman & Nicobar Islands,7752141,0,2004
N K P NAIR,CPI(ML)(L),0,Literate,49,Andaman & Nicobar Islands + Andaman & Nicobar Islands,772588,188000,2004
R S UMA BHARATHY,NCP, 1 ,Not Given,40,Andaman & Nicobar Islands + Andaman & Nicobar Islands,59977,35000,2004
TAPAN KUMAR BEPARI,CPM,0,Post Graduate,46,Andaman & Nicobar Islands + Andaman & Nicobar Islands,2435276,0,2004
KILLI KRUPARANI,INC,0,Not Given,0,Srikakulam + Andhra Pradesh,0,0,2004
MYLAPALLI LAKSHMUDU,BSP, 1 ,Post Graduate,36,Srikakulam + Andhra Pradesh,0,0,2004
TAMMINENI JAGANMOHAN RAO,IND,0,Graduate Professional,37,Srikakulam + Andhra Pradesh,100543,0,2004
KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA   Winner ,INC,0,Post Graduate,57,Parvathipuram + Andhra Pradesh,220678000,0,2004
ARIKA GUMPASWAMY,IND,0,Not Given,55,Parvathipuram + Andhra Pradesh,442000,0,2004
DADICHILUKA VEERA GOURI SANKARA RAO,TDP,0,Doctorate,35,Parvathipuram + Andhra Pradesh,921000,0,2004
UOOYAKA MUTYALU,IND,0,8th Pass,32,Parvathipuram + Andhra Pradesh,20000,0,2004
KONDAPALLI PYDITHALLI NAIDU   Winner ,TDP,0,Not Given,73,Bobbili + Andhra Pradesh,1979000,50000,2004
G.VENKATESH,TRS,0,Graduate,47,Bobbili + Andhra Pradesh,38000,0,2004
JHANSI BOTCHA,INC,0,Post Graduate,40,Bobbili + Andhra Pradesh,25900500,0,2004
PEDDINTI JAGANMOHAN RAO,IND,0,Others,0,Bobbili + Andhra Pradesh,5988503,97000,2004
JANARDHANA REDDY NEDURUMALLI   Winner ,INC,0,Graduate Professional,69,Visakhapatnam + Andhra Pradesh,10916531,11212,2004
APPARAO GUDIVADA,IND,0,Not Given,63,Visakhapatnam + Andhra Pradesh,226200,0,2004
BHARANIKANA RAMA RAO,IND,0,Post Graduate,0,Visakhapatnam + Andhra Pradesh,9912102,0,2004
DR.M.V.V.S.MURTHY,TDP,0,Not Given,65,Visakhapatnam + Andhra Pradesh,27339275,0,2004
KOLAVENTI SUNDARA RAO,BSP,0,Graduate Professional,64,Visakhapatnam + Andhra Pradesh,0,0,2004
MAMIDI SOMUNAIDU,RJD,0,Not Given,67,Visakhapatnam + Andhra Pradesh,0,0,2004
S.V.B.REDDY,IND,0,Post Graduate,57,Visakhapatnam + Andhra Pradesh,1662000,0,2004
SATYANARAYANA MACHIRAJU,IND,0,Graduate,60,Visakhapatnam + Andhra Pradesh,7220000,0,2004
VAMSI KIRAN.B,PPOI,0,Not Given,28,Visakhapatnam + Andhra Pradesh,10000,0,2004
MIDIYAM BABU RAO   Winner ,CPM,0,Graduate Professional,52,Bhadrachalam + Andhra Pradesh,542000,130000,2004
JANNI APPA RAO,BSP,0,12th Pass,30,Bhadrachalam + Andhra Pradesh,100000,0,2004
SMT.KPRK PHANEESWARAMMA,TDP,0,Others,39,Bhadrachalam + Andhra Pradesh,2941913,42000,2004
CHALAPATHIRAO PAPPALA   Winner ,TDP,0,Graduate,58,Anakapalli + Andhra Pradesh,5396505,246000,2004
NANDA GOPAL GANDHAM,INC,0,Not Given,0,Anakapalli + Andhra Pradesh,0,0,2004
MUDRAGADA PADMANABHAM,TDP,0,Not Given,0,Kakinada + Andhra Pradesh,0,0,2004
NAINALASETTI MURTHY,CPI(ML)(L),0,Not Given,51,Kakinada + Andhra Pradesh,900000,562000,2004
ARUNA KUMAR VUNDAVALLI   Winner ,INC, 2 ,Graduate Professional,50,Rajahmundry + Andhra Pradesh,23431318,881017,2004
DUGGIREDDY DHARMA REDDY,IND,0,Not Given,0,Rajahmundry + Andhra Pradesh,59500,0,2004
KANTIPUDI SARVARAYUDU,BJP,0,Graduate,53,Rajahmundry + Andhra Pradesh,25211596,0,2004
S.B.P.B.K.SATYANARAYANA RAO,IND,0,Graduate,82,Rajahmundry + Andhra Pradesh,89712000,0,2004
D. MURALIKRISHNA,BSP,0,Others,59,Amalapuram + Andhra Pradesh,6763811,748000,2004
DUNNA JANARDHANA RAO,TDP,0,Graduate,51,Amalapuram + Andhra Pradesh,988000,60000,2004
MUNEESWARA RAO BHUPATI,IND,0,Others,59,Amalapuram + Andhra Pradesh,236200,35000,2004
YALANGI RAMESH,IND,0,Not Given,40,Amalapuram + Andhra Pradesh,340000,0,2004
ALLURI YUGANDHARA  RAJU,PPOI,0,Post Graduate,39,Narasapur + Andhra Pradesh,451000,0,2004
UPPALAPATI VENKATAKRISHNAM RAJU,BJP,0,Graduate,64,Narasapur + Andhra Pradesh,0,450000,2004
KAVURU  SAMBA SIVA RAO   Winner ,INC,0,Not Given,60,Eluru + Andhra Pradesh,117898221,191621,2004
B.N.V.SATYANARAYANA,TRS,0,Post Graduate,42,Eluru + Andhra Pradesh,50000,1050000,2004
BOLLA BULLI RAMAIAH,TDP,0,Others,77,Eluru + Andhra Pradesh,83368069,3470256,2004
D.S.V.KRISHNAJI,BSP,0,Others,38,Eluru + Andhra Pradesh,3465000,0,2004
KODURI SRIRAMULU,IND,0,10th Pass,45,Eluru + Andhra Pradesh,3146414,142243,2004
S.V.B.REDDY,IND,0,Others,57,Eluru + Andhra Pradesh,1662000,0,2004
S.V.SUBBARAO,IND,0,Graduate,44,Eluru + Andhra Pradesh,42927,0,2004
BADIGA RAMAKRISHNA   Winner ,INC,0,12th Pass,61,Machilipatnam + Andhra Pradesh,138545000,11559000,2004
ADAPALA SIVANNARAYANA,PPOI,0,Others,32,Machilipatnam + Andhra Pradesh,298906,0,2004
AMBATI BRAHMANAIAH,TDP,0,Post Graduate,64,Machilipatnam + Andhra Pradesh,1546471,168301,2004
B.S.RAO,TRS,0,Others,42,Machilipatnam + Andhra Pradesh,8200000,0,2004
DODDA KAMESWARA RAO,IND,0,10th Pass,49,Machilipatnam + Andhra Pradesh,1500000,0,2004
YENDURI SUBRAHMANYESWARA RAO (MANI),IND,0,Others,46,Machilipatnam + Andhra Pradesh,800000,0,2004
APPARAO DAMALAPATI,IND,0,10th Pass,60,Vijayawada + Andhra Pradesh,4296000,0,2004
