Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities,Year
Yashwant Manohar Sutar,IND,0,10th Pass,32,Chikkodi + Karnataka,1050000,700000,2009
Angadi Suresh Channabasappa   Winner ,BJP, 2 ,Graduate Professional,55,Belgaum + Karnataka,221734263,43392842,2009
ALLAPPA RAMAPPA PATIL,IND,0,10th Pass,31,Belgaum + Karnataka,3935405,731400,2009
Amarsinh Vasantrao Patil,INC,0,Post Graduate,49,Belgaum + Karnataka,40495119,256964,2009
APPAYYAGOUDA BASAGOUDA PATIL,JD(S),0,Graduate Professional,56,Belgaum + Karnataka,21161000,200000,2009
Hanaji Ashok Pandu,IND,0,12th Pass,28,Belgaum + Karnataka,150000,0,2009
KASTURI BASANAGOUDA BHAVI,IND, 1 ,Literate,40,Belgaum + Karnataka,65342,0,2009
Mohan Hanamant Gadiwaddar,IND,0,Graduate,29,Belgaum + Karnataka,225000,0,2009
RAMACHANDRA MAREPPA TORGAL (CHALAWADI),IND,0,Graduate,66,Belgaum + Karnataka,4521442,148000,2009
RAMANAGOUDA SIDDANGOUDA PATIL,BSP,0,Graduate,66,Belgaum + Karnataka,4371442,148000,2009
VIJAYKUMAR JEENADATH UPADYA,IND,0,10th Pass,47,Belgaum + Karnataka,90000,0,2009
Jigajinagi Ramesh Chandappa   Winner ,BJP,0,Graduate,57,Bijapur + Karnataka,11753725,3902460,2009
Almellkar Vilasbabu Basalingappa,JD(S),0,12th Pass,46,Bijapur + Karnataka,3815000,300000,2009
ARAKERI NIRMALA SRINIVAS,IND,0,Post Graduate,35,Bijapur + Karnataka,200000,0,2009
CHALAWADI RAMANNA,IND,0,Graduate,54,Bijapur + Karnataka,7317000,650000,2009
HARIJAN AMBANNA TUKARAM,IND,0,Graduate,33,Bijapur + Karnataka,280000,0,2009
KANAMADI SUDHAKAR MALLESH,BSP,0,Graduate,54,Bijapur + Karnataka,2184000,365000,2009
LAMANI CHANDRAKANT RUPASING,LJP,0,Graduate,38,Bijapur + Karnataka,1004000,75000,2009
NARASAPPA TIPPANNA BANDIWADDAR,SKP,0,5th Pass,48,Bijapur + Karnataka,350000,60000,2009
PRAKASH KUBASING RATHOD,INC, 1 ,Post Graduate,48,Bijapur + Karnataka,28319348,16344341,2009
SEVALAL SOMASHEKAR PURAPPA,IND,0,Post Graduate,46,Bijapur + Karnataka,2402200,0,2009
Mallikarjun Kharge   Winner ,INC,0,Graduate Professional,67,Gulbarga + Karnataka,50646533,5508946,2009
Babu Honna Naik,JD(S),0,10th Pass,55,Gulbarga + Karnataka,5525000,155450,2009
Dr. K. P.Paluskar,PRCP,0,Post Graduate,53,Gulbarga + Karnataka,550000,0,2009
H. V. Divakar,IND,0,Graduate,46,Gulbarga + Karnataka,182500,5000,2009
Ravikumar,ANC,0,Not Given,34,Gulbarga + Karnataka,0,0,2009
Reva Singh,BJP,0,Others,70,Gulbarga + Karnataka,6868774,0,2009
Shankar Jadhav,BHPP,0,Not Given,48,Gulbarga + Karnataka,0,0,2009
SHANKER KODLA,JD(U),0,12th Pass,73,Gulbarga + Karnataka,18960000,1145261,2009
SHIVAKUMAR KOLLUR,IND,0,Not Given,44,Gulbarga + Karnataka,2640000,1350000,2009
S Pakkirappa   Winner ,BJP, 1 ,5th Pass,51,Raichur + Karnataka,7736230,0,2009
COM II. V.H.MASTER,IND,0,5th Pass,73,Raichur + Karnataka,28000,0,2009
K Devanna Naik,JD(S),0,Graduate Professional,56,Raichur + Karnataka,28449000,950000,2009
K.SOMASHEKHAR,IND,0,12th Pass,43,Raichur + Karnataka,48030,0,2009
Raja Venkatappa Naik,INC, 1 ,12th Pass,52,Raichur + Karnataka,23638939,0,2009
SHIVAKUMAR,BSP,0,Graduate,42,Raichur + Karnataka,10750000,300000,2009
N. Dharamsingh   Winner ,INC, 5 ,Post Graduate,73,Bidar + Karnataka,142394557,43958832,2009
ADVOCATE MOULVI ZAMEERUDDIN,NDEP,0,Not Given,55,Bidar + Karnataka,21000,350500,2009
AMRUTHAPPA.M.D,IND,0,12th Pass,54,Bidar + Karnataka,0,125000,2009
BASWARAJ PAILWAN OKALLI,IND,0,10th Pass,53,Bidar + Karnataka,10903000,0,2009
DEVENDRAPPA SANGRAMAPPA PATIL,IND,0,Not Given,52,Bidar + Karnataka,600000,50000,2009
DONGAPURE SHANT KUMAR,IND,0,Graduate,59,Bidar + Karnataka,850000,0,2009
JADHAV VENKAT RAO GYANOBA RAO,IND,0,10th Pass,48,Bidar + Karnataka,372000,62500,2009
JAGANNATH.R.JAMADAR,BSP, 1 ,10th Pass,49,Bidar + Karnataka,17647627,2680929,2009
KHAJA SAMEEUDDIN KHAJA MOINUDDIN,IND,0,Not Given,29,Bidar + Karnataka,50000,0,2009
MANJILE MIYYA PEER SAB QURESH,IND,0,8th Pass,33,Bidar + Karnataka,200000,0,2009
MD ARSHAD AHMED ANSARI,IND,0,12th Pass,36,Bidar + Karnataka,21000,22000,2009
MD OSMAN ALI LAKHPATI,IND,0,12th Pass,58,Bidar + Karnataka,8065000,0,2009
MUFTI SHAIKH ABDUL GAFFAR QASMI,IND,0,Post Graduate,32,Bidar + Karnataka,0,0,2009
Narsappa,IND,0,Not Given,69,Bidar + Karnataka,0,0,2009
PARMESHWAR RAMCHANDRA,IND,0,12th Pass,41,Bidar + Karnataka,53000000,1000000,2009
PASHAMIYA ESMAIL SAB,IND,0,Not Given,57,Bidar + Karnataka,2000,0,2009
SAMEEUDDIN BANDELI,IND,0,12th Pass,43,Bidar + Karnataka,516396,0,2009
SHIVARAJ TIMMANNA BOKKE,IND,0,Graduate,55,Bidar + Karnataka,630000,30000,2009
SHRAVAN SANGONDA BHANDE,RSP,0,Not Given,42,Bidar + Karnataka,400000,0,2009
SUBHASH TIPPANNA NELGE,JD(S),0,10th Pass,49,Bidar + Karnataka,1496078273,109491079,2009
SURESH SWAMY TALGHATKER,IND,0,10th Pass,55,Bidar + Karnataka,180255,0,2009
SYED QUBUL ULLAHUSSIANI (SAJID),IND,0,12th Pass,45,Bidar + Karnataka,140000,0,2009
YASHWANTH NARSING,IND,0,Not Given,51,Bidar + Karnataka,417000,0,2009
Yevate Patil Shrimanth,IND,0,Post Graduate,58,Bidar + Karnataka,240000,0,2009
Shivaramgouda   Winner ,BJP,0,Graduate Professional,56,Koppal + Karnataka,14518988,3078847,2009
BASAVARAJ KARADI WADDARAHATTI,JD(U),0,Graduate,27,Koppal + Karnataka,1135000,0,2009
Basavaraj Rayareddy,INC,0,Graduate Professional,53,Koppal + Karnataka,30429000,0,2009
Bharadwaj S,CPI(ML)(L), 1 ,12th Pass,63,Koppal + Karnataka,425000,0,2009
Chakravarthi Nayak T,IND,0,8th Pass,70,Koppal + Karnataka,8625000,400000,2009
Chandrashekar,IND,0,Post Graduate,37,Koppal + Karnataka,6250000,500000,2009
D.H.Pujar,IND, 3 ,5th Pass,42,Koppal + Karnataka,3133500,335000,2009
GOUSIA BEGUM,IND,0,10th Pass,31,Koppal + Karnataka,75000,0,2009
Handi Rafiqsab,IND,0,8th Pass,53,Koppal + Karnataka,427658,0,2009
Iqbal Ansari,JD(S), 2 ,12th Pass,50,Koppal + Karnataka,143795090,19753700,2009
J Eshwarappa,IND,0,Literate,52,Koppal + Karnataka,800000,0,2009
Maremma,IND,0,Illiterate,40,Koppal + Karnataka,1922000,0,2009
NAJEER HUSAIN,IND,0,10th Pass,41,Koppal + Karnataka,911000,0,2009
Sharabayya,IND,0,Graduate,27,Koppal + Karnataka,78500,0,2009
Shivakumar,IND,0,Graduate,44,Koppal + Karnataka,1457000,0,2009
Shivaputrappa,BSP,0,5th Pass,42,Koppal + Karnataka,515000,20000,2009
UPPAR HANUMANTAPPA VEERAPPA KESARAHATTI,IND,0,8th Pass,33,Koppal + Karnataka,871000,240000,2009
Zakir,LJP,0,10th Pass,30,Koppal + Karnataka,2130408,30879113,2009
J. SHANTHA   Winner ,BJP,0,12th Pass,35,Bellary + Karnataka,46572264,0,2009
B. RAMAIAH,IND,0,Not Given,60,Bellary + Karnataka,55000,0,2009
CHOWDAPPA,CPI(ML)(L),0,Literate,29,Bellary + Karnataka,0,0,2009
D. GANGANNA,IND,0,Not Given,70,Bellary + Karnataka,150000,0,2009
N.Y.Hanumanthappa,INC,0,Post Graduate,69,Bellary + Karnataka,1925000,0,2009
RAMANJANAPPA,IND,0,Post Graduate,41,Bellary + Karnataka,425774,0,2009
T.NAGENDRA,BSP,0,Graduate,44,Bellary + Karnataka,10000,50000,2009
Ananthkumar Hegde   Winner ,BJP, 3 ,12th Pass,40,Uttara Kannada + Karnataka,6427192,3955458,2009
ABDUL RASHEED SHAIKH,IND, 1 ,Not Given,44,Uttara Kannada + Karnataka,1820000,0,2009
ALVA MARGARET,INC,0,Graduate Professional,67,Uttara Kannada + Karnataka,41803586,0,2009
D M GURAV,SHS,0,10th Pass,49,Uttara Kannada + Karnataka,23228600,2849601,2009
ELISH H KOTIYAL,JD(U),0,10th Pass,44,Uttara Kannada + Karnataka,4425000,965000,2009
Hadapad Basavaraj Dundappa,BSP,0,12th Pass,28,Uttara Kannada + Karnataka,585035,0,2009
HEGADE VENKATESH DAMODAR,JD(S),0,8th Pass,68,Uttara Kannada + Karnataka,21011480,4614744,2009
KHAZI RAHMATULLA ABDUL WAHAB,IND,0,Graduate,60,Uttara Kannada + Karnataka,8435128,0,2009
L P M NAIK,IND,0,Post Graduate,39,Uttara Kannada + Karnataka,3821,0,2009
UDAY BABU KHALVADEKAR,IND,0,Graduate,57,Uttara Kannada + Karnataka,6397093,0,2009
YASHWANT TIMMANNA NIPPANIKAR,IND,0,Literate,58,Uttara Kannada + Karnataka,725500,50488,2009
JANARDHANA SWAMY   Winner ,BJP,0,Post Graduate,41,Chitradurga + Karnataka,22836000,0,2009
B SUJATHA,IND,0,Not Given,33,Chitradurga + Karnataka,20000,300000,2009
B THIPPESWAMY,INC,0,Doctorate,37,Chitradurga + Karnataka,1088000,160000,2009
GANESHA,IND,0,Not Given,48,Chitradurga + Karnataka,0,0,2009
HANUMANTHAPPA TEGNOOR,IND,0,Graduate,59,Chitradurga + Karnataka,18239203,411158,2009
K H DURGASIMHA,IND,0,Not Given,61,Chitradurga + Karnataka,2223423,210000,2009
M JAYANNA,BSP,0,12th Pass,58,Chitradurga + Karnataka,812300,0,2009
M KUMBHAIAH,IND,0,Post Graduate,54,Chitradurga + Karnataka,5542146,1500000,2009
M RATHNAKAR,JD(S),0,Not Given,42,Chitradurga + Karnataka,41550000,0,2009
RAMACHANDRA,IND,0,Post Graduate,49,Chitradurga + Karnataka,543000,0,2009
SHASHISHEKAR NAIK,RJD,0,Graduate,46,Chitradurga + Karnataka,9400000,0,2009
G.S. BASAVARAJU   Winner ,BJP,0,Graduate Professional,67,Tumkur + Karnataka,54382029,8761621,2009
ASHOK,BSP,0,12th Pass,59,Tumkur + Karnataka,2740000,500000,2009
D.R. NAGARAJA,IND,0,Graduate,54,Tumkur + Karnataka,5584500,0,2009
G. Nagendra,IND,0,10th Pass,34,Tumkur + Karnataka,5000,0,2009
MOHAMED KHASIM,IND,0,Post Graduate,47,Tumkur + Karnataka,250000,140000,2009
NIRANJANA C.S,IND,0,Post Graduate,29,Tumkur + Karnataka,651000,0,2009
P.Kodandaramaiah,INC, 1 ,Post Graduate,69,Tumkur + Karnataka,63420000,49470,2009
S.P. MUDDAHANUMEGOWDA,JD(S),0,Graduate,55,Tumkur + Karnataka,9896116,194997,2009
SHASIBHUSHANA,IND,0,Post Graduate,34,Tumkur + Karnataka,1150000,60000,2009
Sri. Gowri Shankara Swamigalu,SP,0,Graduate,63,Tumkur + Karnataka,4017500,0,2009
H D KUMARA SWAMY   Winner ,JD(S), 3 ,Graduate,50,Bangalore Rural + Karnataka,491683477,336237223,2009
AGNISHREENIVAS.Y.E,IND,0,Graduate,30,Bangalore Rural + Karnataka,105000,0,2009
C P Yogeeshwra,BJP, 4 ,Graduate,45,Bangalore Rural + Karnataka,90320150,0,2009
C.KUMARASWAMY,IND,0,Graduate,28,Bangalore Rural + Karnataka,120000,0,2009
C.THOPAIAH,JD(U),0,5th Pass,56,Bangalore Rural + Karnataka,747000,3000,2009
D.KUMARASWAMY,IND, 1 ,8th Pass,43,Bangalore Rural + Karnataka,62000,0,2009
Dr. K.PADMARAJAN,IND,0,Post Graduate,50,Bangalore Rural + Karnataka,500000,0,2009
K.PUTTAMADEGOWDA,IND,0,10th Pass,40,Bangalore Rural + Karnataka,395600,25000,2009
KRISHNAPPA,IND, 1 ,10th Pass,46,Bangalore Rural + Karnataka,266000,465000,2009
Mohamed Hafeez Ullah,BSP,0,Graduate,54,Bangalore Rural + Karnataka,1407000,300000,2009
T.M.MANCHEGOWDA,IND,0,5th Pass,60,Bangalore Rural + Karnataka,110937,50000,2009
TEJASVINI GOWDA,INC, 1 ,Doctorate,42,Bangalore Rural + Karnataka,7290000,6600000,2009
Y.Chinnapa,IND,0,Graduate,33,Bangalore Rural + Karnataka,1600000,0,2009
D.B. Chandre Gowda   Winner ,BJP,0,Graduate Professional,73,Bangalore North + Karnataka,20840751,0,2009
Abdul Jaleel,IND,0,10th Pass,39,Bangalore North + Karnataka,10000,0,2009
Anchan Khanna,IND,0,Post Graduate,34,Bangalore North + Karnataka,340000,0,2009
B.K. Chandra,IND,0,10th Pass,38,Bangalore North + Karnataka,484000,0,2009
C Krishnamurthy,IND,0,10th Pass,45,Bangalore North + Karnataka,688000,0,2009
C. K. Jaffer Sharief,INC, 1 ,12th Pass,75,Bangalore North + Karnataka,163774065,550790,2009
G S Kumar,IND,0,10th Pass,68,Bangalore North + Karnataka,3851000,55000,2009
H A Shivakumar,IND,0,Post Graduate,30,Bangalore North + Karnataka,20000,0,2009
H Pillaiah,IND,0,8th Pass,46,Bangalore North + Karnataka,0,0,2009
Joseph Solomon,IND,0,Graduate,39,Bangalore North + Karnataka,12877483,2500000,2009
K. Sathyanarayana,IND,0,8th Pass,57,Bangalore North + Karnataka,0,0,2009
K.A. Mohan,IND,0,5th Pass,51,Bangalore North + Karnataka,700000,0,2009
Kanyakumar,IND,0,10th Pass,36,Bangalore North + Karnataka,10000,0,2009
L. Lakshmaiah,IND,0,5th Pass,64,Bangalore North + Karnataka,50000,0,2009
L. Nagaraj,IND,0,12th Pass,52,Bangalore North + Karnataka,6463000,18000,2009
M Tippuvardan,BPJP,0,Post Graduate,39,Bangalore North + Karnataka,1000000,120000,2009
Meer Layaq Hussain,IND,0,Graduate Professional,42,Bangalore North + Karnataka,12000,0,2009
MU Venkateshaiah,IND,0,12th Pass,50,Bangalore North + Karnataka,8248000,5000,2009
N. Harish Gowda,IND,0,Graduate,33,Bangalore North + Karnataka,1675000,193000,2009
Padmaa K Bhat,BSP, 2 ,Graduate,43,Bangalore North + Karnataka,45693782,18715693,2009
S M Raju,IND,0,Graduate,52,Bangalore North + Karnataka,0,0,2009
Surendra Babu. R.,JD(S), 2 ,Post Graduate,48,Bangalore North + Karnataka,1075502000,300000,2009
Syed Akbar Basha,IND,0,10th Pass,50,Bangalore North + Karnataka,50000,0,2009
T B Madwaraja,IND,0,12th Pass,33,Bangalore North + Karnataka,185000,0,2009
T.R. Chandrahasa,IND,0,10th Pass,45,Bangalore North + Karnataka,655000,160000,2009
V Prasanna Kumar,IND,0,Graduate,38,Bangalore North + Karnataka,2881500,0,2009
Venkatesa Setty,IND,0,10th Pass,63,Bangalore North + Karnataka,276000,120000,2009
Zafer Mohiuddin,IND,0,Graduate Professional,48,Bangalore North + Karnataka,2666500,710000,2009
P.C.Mohan   Winner ,BJP, 1 ,12th Pass,45,Bangalore Central + Karnataka,53729000,32887000,2009
A.Chandrashekar,IND,0,8th Pass,45,Bangalore Central + Karnataka,195000,0,2009
A.S.Paul,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Graduate,60,Bangalore Central + Karnataka,1173000,6300,2009
Abhimani Narendra,IND,0,10th Pass,50,Bangalore Central + Karnataka,865000,0,2009
B.K.Narayanaswamy,IND,0,Not Given,52,Bangalore Central + Karnataka,60072000,0,2009
B.Krishnaprasad,PTSS,0,Not Given,55,Bangalore Central + Karnataka,3620000,600000,2009
B.M.Krishnareddy,IND,0,Not Given,64,Bangalore Central + Karnataka,3913040,0,2009
B.Mohan Velu,IND,0,10th Pass,39,Bangalore Central + Karnataka,0,0,2009
C.V.Giddappa,IND,0,Post Graduate,55,Bangalore Central + Karnataka,5925000,762378,2009
D.C.Prakash,KTMK,0,5th Pass,41,Bangalore Central + Karnataka,1655800,0,2009
Dr.D.R.Venkatesh Gowda,IND,0,Graduate Professional,82,Bangalore Central + Karnataka,2048,0,2009
E.Ramakrishnaiah,IND,0,Post Graduate,51,Bangalore Central + Karnataka,235000,0,2009
H.T.Sangliana,INC,0,Graduate,67,Bangalore Central + Karnataka,25466411,0,2009
Ifthaquar Ali Bhutto,ANC,0,10th Pass,37,Bangalore Central + Karnataka,0,0,2009
J.D.Elangovan,IJP,0,Graduate,64,Bangalore Central + Karnataka,3150000,1300000,2009
Jayarama,IND,0,10th Pass,60,Bangalore Central + Karnataka,20000,0,2009
K. Prabhakara Reddy,KCVP,0,Graduate,61,Bangalore Central + Karnataka,96737000,400000,2009
K.H.Ramalingareddy,IND,0,Graduate,41,Bangalore Central + Karnataka,1225000,300000,2009
K.Narasimha,IND,0,10th Pass,38,Bangalore Central + Karnataka,11264000,225300,2009
K.S.S.Iyengar,IND,0,Graduate,77,Bangalore Central + Karnataka,4281635,4500,2009
K.Shivaramanna,IND,0,Not Given,55,Bangalore Central + Karnataka,1305000,0,2009
K.Uma,IND,0,Post Graduate,50,Bangalore Central + Karnataka,376000,0,2009
M.A.Ashwatha Narayana Setty,IND,0,Graduate,65,Bangalore Central + Karnataka,2923500,0,2009
Meer Layaq Hussain,IND,0,Graduate Professional,42,Bangalore Central + Karnataka,12000,0,2009
P.Parthiban,IND,0,12th Pass,34,Bangalore Central + Karnataka,6000,80000,2009
R.Raj,IND,0,Graduate,49,Bangalore Central + Karnataka,9624700,2362124,2009
S.Kodandaram,IND,0,5th Pass,50,Bangalore Central + Karnataka,223789,0,2009
S.M.Krishna,BPJP,0,10th Pass,44,Bangalore Central + Karnataka,300000,0,2009
S.N.Sharma,IND,0,Graduate,67,Bangalore Central + Karnataka,12950000,819000,2009
Shaffi Ahmed,IND,0,Not Given,50,Bangalore Central + Karnataka,80000,0,2009
Shaik Bahadur,IND,0,8th Pass,54,Bangalore Central + Karnataka,2060000,37000,2009
Shashikumar A.R,IND,0,Graduate,43,Bangalore Central + Karnataka,3643500,250000,2009
T.K.Premkumar,PPOI,0,Graduate,45,Bangalore Central + Karnataka,7239000,978532,2009
Umashankar,IND, 1 ,Graduate,42,Bangalore Central + Karnataka,256530,0,2009
Vijay Raj Singh,BSP, 1 ,Post Graduate,37,Bangalore Central + Karnataka,39080502,975000,2009
Vijaya Bhaskar N,IND,0,Graduate,61,Bangalore Central + Karnataka,14812000,1650000,2009
Zameer Ahmed Khan.B.Z,JD(S), 1 ,8th Pass,43,Bangalore Central + Karnataka,4441200,0,2009
Ananth Kumar   Winner ,BJP,0,Graduate Professional,49,Bangalore South + Karnataka,12206366,0,2009
ABHIMANI NARENDRA,IND,0,10th Pass,50,Bangalore South + Karnataka,865000,0,2009
B.M.GOVINDRAJ NAIK,ABHM,0,Graduate,38,Bangalore South + Karnataka,1515000,30000,2009
B.SHIVARAMAPPA,PPOI,0,Post Graduate,62,Bangalore South + Karnataka,4249900,2456,2009
CAPT.G.R.GOPINATH,IND,0,Graduate,57,Bangalore South + Karnataka,668963000,21600000,2009
Dr. Jayalakshmi.H.G,IND,0,Post Graduate,48,Bangalore South + Karnataka,148315,0,2009
GANESH HANUMANTARAO MOKHASHI,IND,0,Not Given,58,Bangalore South + Karnataka,0,0,2009
K.C.JANARDHAN,IND,0,Post Graduate,46,Bangalore South + Karnataka,1246492,1011732,2009
K.M.Narayana,IND,0,8th Pass,54,Bangalore South + Karnataka,3267400,623990,2009
KHADER ALI KHAN,IND,0,Not Given,39,Bangalore South + Karnataka,287000,0,2009
Krishna Byre Gowda C.B.,INC,0,Post Graduate,36,Bangalore South + Karnataka,30855494,9900000,2009
MADESH.C,IND,0,8th Pass,40,Bangalore South + Karnataka,25000,0,2009
MURALI DHARA.D.J,IND,0,Graduate,44,Bangalore South + Karnataka,83000,6300000,2009
NAHEEDA SALMA S,BSP,0,Graduate,47,Bangalore South + Karnataka,875000,720000,2009
P.JOHN BASCO,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,10th Pass,37,Bangalore South + Karnataka,40000,0,2009
Prof. RADHAKRISHNA.K.E,JD(S),0,Post Graduate,62,Bangalore South + Karnataka,27086394,2327241,2009
RAVI KUMARA.T,IND,0,12th Pass,27,Bangalore South + Karnataka,3880,10621,2009
Santhosh Min.B,IND,0,12th Pass,33,Bangalore South + Karnataka,511,0,2009
SUGANDHA RAJE URS,IND,0,Graduate,59,Bangalore South + Karnataka,5744734,0,2009
VATAL NAGARAJ,KCVP, 11 ,10th Pass,60,Bangalore South + Karnataka,22771000,0,2009
M. Veerappa Moily   Winner ,INC,0,Graduate,69,Chikkballapur + Karnataka,29374446,1083264,2009
A.N.BACHEGOWDA,IND,0,5th Pass,50,Chikkballapur + Karnataka,0,0,2009
B.SHIVARAJA,IND,0,10th Pass,40,Chikkballapur + Karnataka,6020000,0,2009
C.Aswathanarayana,BJP,0,10th Pass,56,Chikkballapur + Karnataka,522620590,11849671,2009
C.R.MANOHAR,JD(S),0,Graduate,29,Chikkballapur + Karnataka,137079566,89446460,2009
G.B.Muthukumar,IND,0,Post Graduate,62,Chikkballapur + Karnataka,3269000,5023,2009
G.N. RAVI,IND,0,Not Given,45,Chikkballapur + Karnataka,0,100000,2009
G.Narayanappa,IND,0,10th Pass,62,Chikkballapur + Karnataka,650000,0,2009
H.R.SHIVAKUMAR,IND,0,12th Pass,38,Chikkballapur + Karnataka,4313000,220000,2009
HENNURU LAKSHMINARAYANA,BSP,0,12th Pass,49,Chikkballapur + Karnataka,14507500,0,2009
K.S.CHANDRASHEKARA RAO (AZAD),IND,0,10th Pass,54,Chikkballapur + Karnataka,183840,0,2009
K.VENKATAREDDY,IND,0,Graduate,36,Chikkballapur + Karnataka,70000,0,2009
Krishnamurthy T,IND,0,Graduate,70,Chikkballapur + Karnataka,9550000,0,2009
L.Nagaraja,IND,0,Not Given,52,Chikkballapur + Karnataka,6463000,18000,2009
M.MUNIVENKATAIAH,IND,0,10th Pass,64,Chikkballapur + Karnataka,1210000,12000,2009
M.RAMAKRISHNAIAH,PPOI,0,10th Pass,40,Chikkballapur + Karnataka,760000,0,2009
M.RAMESH,IND,0,10th Pass,30,Chikkballapur + Karnataka,3405000,600000,2009
M.VENKATESH,BPJP,0,Post Graduate,55,Chikkballapur + Karnataka,2657755,152526,2009
RAVI GOKRE,IND,0,10th Pass,32,Chikkballapur + Karnataka,3900000,100000,2009
Y.A.SIDDALINGEGOWDA,IND,0,Not Given,42,Chikkballapur + Karnataka,35300000,2000000,2009
K.H.Muniyappa   Winner ,INC,0,Graduate Professional,61,Kolar + Karnataka,51921402,21019510,2009
B.M.KRISHNAPPA,IND,0,10th Pass,59,Kolar + Karnataka,510000,0,2009
C.K.MUNIYAPPA,IND,0,Not Given,43,Kolar + Karnataka,710000,0,2009
D.S.Veeraiah,BJP,0,Post Graduate,60,Kolar + Karnataka,12354200,1517345,2009
G.Chandranna,JD(S), 2 ,12th Pass,56,Kolar + Karnataka,56096750,700000,2009
JAYARAMAPPA,IND,0,Graduate,45,Kolar + Karnataka,15000,70000,2009
K.NARAYANASWAMY,IND,0,10th Pass,34,Kolar + Karnataka,0,230000,2009
K.R.DEVARAJA,RDMP,0,Not Given,51,Kolar + Karnataka,1870000,160000,2009
K.VENKATESH,IND,0,Not Given,40,Kolar + Karnataka,18000,0,2009
LAKSHMI SHANMUGAM,NCP,0,12th Pass,56,Kolar + Karnataka,1050000,0,2009
M.NAGARAJA,IND,0,12th Pass,35,Kolar + Karnataka,4000000,700000,2009
M.R.GANTAPPA,IND,0,Post Graduate,60,Kolar + Karnataka,2630000,400000,2009
M.RAVI KUMAR,IND,0,8th Pass,36,Kolar + Karnataka,0,0,2009
M.VENKATASWAMY,IND,0,Doctorate,55,Kolar + Karnataka,1488000,417000,2009
N.Muniswamy,BSP,0,Graduate,57,Kolar + Karnataka,312000,0,2009
NAGARATHNA M,IND,0,Not Given,41,Kolar + Karnataka,6060000,0,2009
NARAYANASWAMY,IND,0,Not Given,49,Kolar + Karnataka,2597100,0,2009
P.CHANDRAPPA,IND,0,Graduate,42,Kolar + Karnataka,365000,0,2009
P.V.CHANGALARAYAPPA,IND,0,5th Pass,38,Kolar + Karnataka,1640,0,2009
SRINIVASA P.,IND,0,Graduate Professional,42,Kolar + Karnataka,250000,0,2009
SRINIVASA T.O.,IND,0,Graduate,37,Kolar + Karnataka,0,0,2009
V.JAYARAMA,IND,0,Graduate,59,Kolar + Karnataka,0,8900000,2009
M M Pallamraju   Winner ,INC,0,Post Graduate,46,Kakinada + Andhra Pradesh,65589882,1112763,2009
Akay Suryanarayana,IND,0,8th Pass,50,Kakinada + Andhra Pradesh,0,0,2009
Aluri Vijaya Lakhsmi,LSP,0,Post Graduate,64,Kakinada + Andhra Pradesh,25098100,0,2009
Badampudi Baburao,IND, 1 ,5th Pass,51,Kakinada + Andhra Pradesh,0,0,2009
Bikkina Visweswara Rao,BJP,0,Graduate Professional,34,Kakinada + Andhra Pradesh,8740000,952000,2009
Bugatha Bangarrao,CPI(ML)(L), 7 ,10th Pass,48,Kakinada + Andhra Pradesh,230560,0,2009
C Surya Narayana Murthy,IND,0,Others,44,Kakinada + Andhra Pradesh,45300,0,2009
Chalamalasetty Sunil,PRAP,0,Post Graduate,39,Kakinada + Andhra Pradesh,109877965,0,2009
Danam Lazar Babu,IND,0,Graduate Professional,42,Kakinada + Andhra Pradesh,710000,400000,2009
Dommeti Sudhakar,BSP,0,Post Graduate,51,Kakinada + Andhra Pradesh,1060000,70000,2009
Gali Satyavathi,RPI,0,Not Given,40,Kakinada + Andhra Pradesh,120000,0,2009
Gidla Simhachalam,RDMP,0,Graduate Professional,50,Kakinada + Andhra Pradesh,0,0,2009
K Udaya Kumar,TNPP, 1 ,Graduate Professional,36,Kakinada + Andhra Pradesh,430000,0,2009
N Pallam Raju,Ajeya Bharat Party,0,Graduate,52,Kakinada + Andhra Pradesh,4325000,500000,2009
Namala Satyanarayana,RDHP,0,Graduate Professional,45,Kakinada + Andhra Pradesh,560000,0,2009
Vasamsetty Satya,TDP,0,Graduate,44,Kakinada + Andhra Pradesh,24485000,5500000,2009
G V Harsha Kumar   Winner ,INC, 1 ,Post Graduate,50,Amalapuram + Andhra Pradesh,7289000,1014298,2009
AKUMARTHI SURYANARAYANA,Trilinga Praja Pragati Party,0,5th Pass,50,Amalapuram + Andhra Pradesh,395000,0,2009
BHEEMARAO RAMJI MUTHABATHULA,PPOI,0,10th Pass,39,Amalapuram + Andhra Pradesh,50000,0,2009
Doctor G Varalakshmi,TDP,0,Graduate Professional,51,Amalapuram + Andhra Pradesh,10853316,0,2009
G Sampada Rao,BSP,0,Graduate Professional,39,Amalapuram + Andhra Pradesh,20000,0,2009
K Uma Maheswara Rao,BJP,0,Graduate Professional,65,Amalapuram + Andhra Pradesh,16079000,0,2009
KIRAN KUMAR BINEPE,PBHP,0,Not Given,43,Amalapuram + Andhra Pradesh,15887,0,2009
Masa Ramadasu,RDMP,0,Not Given,45,Amalapuram + Andhra Pradesh,20000,0,2009
P V Chakravarthi,RPI(KH),0,Graduate Professional,54,Amalapuram + Andhra Pradesh,200000,0,2009
