id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_run,win_by_wickets,player_of_match,venue,umpire1,umpire2
755,2019,Visakhapatnam,10/05/2019,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,F du Plessis,Dr. Y.S. Rajasekhara Reddy ACA/VDCA Cricket Stadium,BNJ Oxenford,S Ravi
756,2019,Hyderabad,12/05/2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,JJ Bumrah,"Rajiv Gandhi International Stadium, Uppal",IJ Gould,Nitin Menon
757,2020,Abu Dhabi,19/09/2020,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,AT Rayudu,Sheikh Zayed Stadium,CB Gaffaney,VK Sharma
758,2020,Dubai,20/09/2020,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Delhi Capitals,0,0,MP Stoinis,Dubai International Cricket Stadium,AK Chaudhary,Nitin Menon
759,2020,Abu Dhabi,21/10/2020,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,0,8,Mohammed Siraj,Sheikh Zayed Stadium,VK Sharma,S Ravi
760,2020,Sharjah,03/11/2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,10,S Nadeem,Sharjah Cricket Stadium,C Shamshuddin,RK Illingworth
761,2020,Sharjah,22/09/2020,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Rajasthan Royals,16,0,SV Samson,Sharjah Cricket Stadium,C Shamshuddin,VA Kulkarni
762,2020,Abu Dhabi,24/10/2020,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Kolkata Knight Riders,59,0,CV Varun,Sheikh Zayed Stadium,CB Gaffaney,PG Pathak
763,2020,Dubai,24/10/2020,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kings XI Punjab,12,0,CJ Jordan,Dubai International Cricket Stadium,AY Dandekar,PR Reiffel
764,2020,Abu Dhabi,28/10/2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,SA Yadav,Sheikh Zayed Stadium,UV Gandhe,CB Gaffaney
765,2020,Sharjah,09/10/2020,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,Delhi Capitals,46,0,R Ashwin,Sharjah Cricket Stadium,KN Ananthapadmanabhan,C Shamshuddin
766,2020,Abu Dhabi,07/10/2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,10,0,RA Tripathi,Sheikh Zayed Stadium,KN Ananthapadmanabhan,RK Illingworth
767,2020,Sharjah,31/10/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,Sandeep Sharma,Sharjah Cricket Stadium,KN Ananthapadmanabhan,K Srinivasan
768,2020,Abu Dhabi,01/10/2020,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Mumbai Indians,48,0,KA Pollard,Sheikh Zayed Stadium,VK Sharma,S Ravi
769,2020,Dubai,30/09/2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kolkata Knight Riders,37,0,Shivam Mavi,Dubai International Cricket Stadium,KN Ananthapadmanabhan,C Shamshuddin
770,2020,Abu Dhabi,02/11/2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,6,A Nortje,Sheikh Zayed Stadium,CB Gaffaney,S Ravi
771,2020,Abu Dhabi,01/11/2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,RD Gaikwad,Sheikh Zayed Stadium,PG Pathak,VK Sharma
772,2020,Dubai,11/10/2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,5,R Tewatia,Dubai International Cricket Stadium,YC Barde,PR Reiffel
773,2020,Abu Dhabi,23/09/2020,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,49,0,RG Sharma,Sheikh Zayed Stadium,CB Gaffaney,S Ravi
774,2020,Sharjah,17/10/2020,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Delhi Capitals,0,5,S Dhawan,Sharjah Cricket Stadium,KN Ananthapadmanabhan,RK Illingworth
775,2020,Dubai,24/09/2020,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,97,0,KL Rahul,Dubai International Cricket Stadium,AK Chaudhary,PR Reiffel
776,2020,Abu Dhabi,06/10/2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,57,0,SA Yadav,Sheikh Zayed Stadium,VK Sharma,S Ravi
777,2020,Abu Dhabi,18/10/2020,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,0,0,LH Ferguson,Sheikh Zayed Stadium,PG Pathak,S Ravi
778,2020,Dubai,04/10/2020,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,10,SR Watson,Dubai International Cricket Stadium,AY Dandekar,Nitin Menon
779,2020,Abu Dhabi,03/10/2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,8,YS Chahal,Sheikh Zayed Stadium,CB Gaffaney,S Ravi
780,2020,Sharjah,03/10/2020,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Delhi Capitals,18,0,SS Iyer,Sharjah Cricket Stadium,VA Kulkarni,RK Illingworth
781,2020,Dubai,02/10/2020,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,7,0,PK Garg,Dubai International Cricket Stadium,AK Chaudhary,PR Reiffel
782,2020,Dubai,18/10/2020,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,0,KL Rahul,Dubai International Cricket Stadium,Nitin Menon,PR Reiffel
