Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,11841000,1420000,2014
Parbhubhai Nagarbhai Vasava,BARDOLI,BJP, 1 ,Others,15909957,1353400,2014
Santosh Gangwar,BAREILLY,BJP,0,Graduate Professional,36986862,1777215,2014
Prabhas Kumar Singh,BARGARH,BJD,0,Doctorate,5786971,670000,2014
Col. Sona Ram,BARMER,BJP, 1 ,Graduate Professional,174678454,5584331,2014
Siraj Uddin Ajmal,BARPETA,AIUDF,0,Graduate,670806607,0,2014
Dinesh Trivedi,BARRACKPUR,AITC,0,Post Graduate,53582340,15661349,2014
Idris Ali,BASIRHAT,AITC, 9 ,Graduate Professional,9800277,0,2014
Dinesh Kashyap,BASTAR,BJP, 1 ,Post Graduate,16108199,2191216,2014
Harish Chandra,BASTI,BJP, 2 ,Post Graduate,5345882,860185,2014
Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,1081664910,412634299,2014
Munde Gopinathrao Pandurang,BEED,BJP, 3 ,Graduate Professional,380072890,335729817,2014
Bhola Singh,BEGUSARAI,BJP,0,Doctorate,25248102,0,2014
Suresh Angadi,BELGAUM,BJP, 1 ,Graduate Professional,233390964,93072889,2014
B Sreeramulu,BELLARY,BJP, 8 ,Graduate,151392844,4050947,2014
Sidhant Mohapatra,BERHAMPUR,BJD,0,Graduate,16462430,1183828,2014
Jyoti Dhurve,BETUL,BJP, 2 ,Post Graduate,26232000,1000000,2014
Virendra Singh,BHADOHI,BJP,0,Graduate,11531458,791186,2014
Arjun Charan Sethi,BHADRAK,BJD,0,Post Graduate,6730000,2424000,2014
Shailesh Kumar Urph Bulo Mandal,BHAGALPUR,RJD, 1 ,12th Pass,20216734,0,2014
Nanabhau Falgunrao Patole,BHANDARA GONDIYA,BJP, 5 ,Graduate,12738190,0,2014
Bahadur Singh,BHARATPUR,BJP,0,Literate,19142363,1333100,2014
Mansukhbhai Dhanjibhai Vasava,BHARUCH,BJP,0,Post Graduate,6571062,639000,2014
