Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Ramesh Rathod,Adilabad,TDP, 2 ,12th Pass,3410000,815241,2009
DR. RAMSHANKAR,Agra,BJP,0,Doctorate,1511000,639959,2009
HARIN PATHAK,Ahmedabad East,BJP, 2 ,Post Graduate,14578184,22734,2009
KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,26122439,709488,2009
GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP, 9 ,10th Pass,13053391,955351,2009
SACHIN PILOT,Ajmer,INC,0,Post Graduate,46489558,0,2009
RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,4400000,838099,2009
DHOTRE SANJAY SHAMRAO,Akola,BJP, 4 ,Graduate Professional,19335144,2221980,2009
K C Venugopal,Alappuzha,INC,0,Post Graduate,3533704,203374,2009
P K Biju,Alathur,CPM,0,Post Graduate,461000,0,2009
RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,34034506,0,2009
Manohar Tirkey,Alipurduars,RSP,0,10th Pass,2358725,0,2009
KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,0,Graduate Professional,18640164,226475,2009
PRADEEP TAMTA,Almora,INC,0,Post Graduate,1590000,0,2009
JITENDRA SINGH,Alwar,INC,0,Graduate,67967810,0,2009
G V Harsha Kumar,Amalapuram,INC, 1 ,Post Graduate,7289000,1014298,2009
SELJA,Ambala,INC,0,Post Graduate,46711386,0,2009
RAKESH PANDEY,Ambedkar Nagar,BSP, 3 ,8th Pass,164078904,0,2009
RAHUL GANDHI,Amethi,INC,0,Post Graduate,23274706,2335000,2009
ADSUL ANANDRAO VITHOBA,Amravati,SHS, 1 ,Graduate,17708418,0,2009
NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,4748283,300000,2009
NAVJOT SINGH SIDHU,Amritsar,BJP, 1 ,Graduate,145037236,0,2009
DEVENDRA NAGPAL,Amroha,RLD, 6 ,Graduate,132425712,13960788,2009
Sabbam Hari,Anakapalle,INC,0,12th Pass,85032286,450000,2009
RAVNEET SINGH,Anandpur Sahib,INC,0,12th Pass,21821443,300000,2009
ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,13015000,0,2009
MIRZA MEHBOOB BEG,Anantnag,JKN,0,Graduate Professional,4850000,0,2009
Shri Bishnu Pada Ray,Andaman & Nicobar Islands,BJP, 1 ,Graduate,1241034,0,2009
MANEKA GANDHI,Aonla,BJP, 1 ,12th Pass,175685977,0,2009
JAGATHRAKSHAKAN,Arakkonam,DMK,0,10th Pass,59106399,0,2009
V. Kishore Chandra Deo,Araku,INC,0,Post Graduate,247410000,0,2009
SAKTI MOHAN MALIK,Arambag,CPM,0,Post Graduate,2415310,108000,2009
KRISHNASAMY M,Arani,INC,0,Graduate Professional,62385765,16792067,2009
PRADEEP KUMAR SINGH,Araria,BJP, 3 ,10th Pass,257014,764726,2009
Meena Singh,Arrah,JD(U),0,Graduate,42436500,0,2009
NINONG ERING,Arunachal East,INC,0,Graduate,104320000,1251784,2009
TAKAM SANJOY,Arunachal West,INC,0,Graduate,24137021,0,2009
BANSAGOPAL CHOWDHURY,Asansol,CPM,0,Graduate,1423763,0,2009
Nityananda Pradhan,Aska,BJD, 1 ,Post Graduate,26616692,1525000,2009
Adv A Sampath,Attingal,CPM, 2 ,Post Graduate,8999000,2150029,2009
CHANDRAKANT KHAIRE,Aurangabad,SHS, 16 ,12th Pass,14151539,1472122,2009
Sushil Kumar Singh,Aurangabad,JD(U), 4 ,Post Graduate,20887871,741199,2009
BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,25297068,0,2009
RAMAKANT YADAV,Azamgarh,BJP, 11 ,10th Pass,24494000,0,2009
