Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
CHANDRA SEKHAR SAHU,Berhampur,INC,0,Graduate Professional,1419000,0,2004
RAGHUNATH JHA,Bettiah,RJD, 2 ,12th Pass,11267189,0,2004
KHANDELWAL VIJAY KUMAR (MUNNI BHAIA),Betul,BJP,0,Graduate Professional,16507774,953983,2004
MIDIYAM BABU RAO,Bhadrachalam,CPM,0,Graduate Professional,542000,130000,2004
SUSHIL KUMAR MODI,Bhagalpur,BJP, 3 ,Post Graduate,3410312,935401,2004
PATLE SHISHUPAL NATTHU,Bhandara,BJP,0,Graduate Professional,1184050,12000,2004
VISHVENDRA SINGH,Bharatpur,BJP,0,12th Pass,87894237,525000,2004
PARAMJIT KAUR GULSHAN,Bhatinda,SAD,0,Post Graduate,6507661,0,2004
RANA RAJENDRASINH GHANASHYAMSINH (RAJUBHAI RANA),Bhavnagar,BJP,0,Graduate Professional,2350613,0,2004
VIJAYENDRAPAL SINGH,Bhilwara,BJP,0,Graduate,23765671,250000,2004
DR. RAMLAKHAN SINGH,Bhind,BJP, 1 ,Graduate Professional,5774939,284945,2004
KULDEEP BISHNOI,Bhiwani,INC,0,Graduate,143724090,21865304,2004
KAILASH JOSHI,Bhopal,BJP,0,10th Pass,2695080,0,2004
PRASANNA KUMAR PATASANI,Bhubaneswar,BJD,0,Post Graduate,4441581,0,2004
RAMCHANDRA VEERAPPA,Bidar,BJP,0,Literate,2480708,816000,2004
BASANAGOUDA R PATIL(YATNAL),Bijapur,BJP, 2 ,Graduate,5603503,1200000,2004
Munshiram S/o Sri Ramcharan Singh,Bijnor,RLD,0,Others,2942225,720000,2004
DHARMENDRA,Bikaner,BJP,0,12th Pass,230326000,5428225,2004
AJIT KUMAR SINGH,Bikramganj,JD(U),0,Post Graduate,14362110,0,2004
PUNNULAL MOHLE,Bilaspur,BJP,0,12th Pass,3727718,0,2004
RAJA RAM PAL,Bilhaur,BSP,0,Graduate Professional,1471113,200000,2004
Ram Chandra Dome,Birbhum,CPM,0,Doctorate,409541,2862,2004
KONDAPALLI PYDITHALLI NAIDU,Bobbili,TDP,0,Not Given,1979000,50000,2004
SANGEETA KUMARI SINGH DEO,Bolangir,BJP,0,Graduate,26899686,383762,2004
Chatterjee Somnath,Bolpur,CPM,0,Post Graduate,10551015,0,2004
VASAVA MANSUKHBHAI DHANJIBHAI,Broach,BJP,0,Post Graduate,1583619,0,2004
SALEEM IQBAL SHERVANI,Budaun,SP,0,Graduate,96980000,5940,2004
KALYAN SINGH,Bulandshahr,BJP,0,Graduate Professional,6209253,0,2004
ADSUL ANANDRAO VITHOBA,Buldhana,SHS, 2 ,Graduate,20630019,6111246,2004
KISHANBHAI VESTABHAI PATEL,Bulsar,INC, 2 ,10th Pass,279461,0,2004
Nikhilananda Sar,Burdwan,CPM,0,Graduate Professional,3431414,0,2004
LALMUNI CHAUBEY,Buxar,BJP,0,12th Pass,8431336,0,2004
Md. Salim,Calcutta North East,CPM,0,Post Graduate,3109485,0,2004
