Day,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F)
18/06/2010,58.6,44,33.0,29.8,10.1,12.2,339,1.95,7.43,0.0,77.4,36.5,75,9,29.881,29.692,29.9,40.0,79.1
19/06/2010,59.7,66,47.3,29.8,4.1,5.7,57,1.95,7.43,0.0,74.6,42.5,89,41,29.897,29.69,16.1,20.0,78.0
20/06/2010,59.4,64,45.7,29.8,5.5,7.0,38,1.95,7.43,0.0,77.5,40.3,88,12,29.905,29.654,20.7,26.0,79.1
21/06/2010,61.9,47,35.5,29.8,6.7,8.1,355,1.95,7.43,0.0,78.6,40.8,90,9,29.903,29.639,23.0,31.0,78.6
22/06/2010,62.4,35,25.3,29.8,11.2,15.9,340,1.95,7.43,0.0,78.1,39.5,80,7,29.865,29.708,26.5,255.0,79.0
23/06/2010,57.7,48,37.7,30.0,4.9,6.2,3,1.95,7.43,0.0,68.1,40.9,68,33,30.105,29.863000000000003,12.7,14.0,79.1
24/06/2010,63.0,46,35.9,29.9,3.0,4.1,359,1.95,7.43,0.0,84.9,40.9,90,10,30.091,29.738000000000003,18.4,32.0,81.8
25/06/2010,65.8,32,30.4,29.8,6.2,7.6,331,1.95,7.43,0.0,84.7,40.1,69,10,29.916,29.599,19.6,25.0,81.6
26/06/2010,65.9,38,38.8,29.6,8.1,10.3,340,1.95,7.43,0.0,77.8,52.9,62,22,29.76,29.549,20.7,32.0,79.1
27/06/2010,58.6,65,46.0,29.8,3.5,4.8,60,2.15,7.63,0.02,71.3,41.3,92,45,29.933000000000003,29.707,12.7,18.0,78.5
28/06/2010,61.9,58,43.1,29.9,16.9,32.3,6,2.16,7.64,0.01,77.4,42.3,95,20,30.2,29.788,95.5,255.0,79.1
29/06/2010,64.7,46,40.6,29.9,1.6,127.3,166,2.16,7.64,0.0,77.7,43.9,84,22,29.989,29.71,9.2,255.0,78.8
30/06/2010,64.6,44,38.7,29.8,4.0,133.6,59,2.16,7.64,0.0,79.9,42.9,80,20,29.941,29.591,15.0,255.0,79.0
1/07/2010,65.5,47,42.1,29.7,6.6,144.9,340,0.16,7.8,0.02,81.8,51.3,86,19,29.827,29.546,24.2,255.3,79.8
2/07/2010,63.5,61,47.6,29.6,4.8,138.2,347,0.16,7.8,0.0,76.8,48.0,92,27,29.843000000000004,29.379,15.0,255.3,78.8
3/07/2010,67.2,40,36.2,29.5,8.6,125.5,326,0.16,7.8,0.0,81.3,46.7,84,11,29.658,29.263,25.3,255.3,79.2
4/07/2010,57.3,72,47.8,29.6,5.3,133.9,29,0.27,7.91,0.02,68.1,47.1,89,51,29.844,29.411,11.5,255.3,78.1
5/07/2010,59.8,42,34.0,29.8,8.7,78.4,339,0.27,7.91,0.0,75.9,46.7,90,16,29.846,29.525,23.0,255.3,78.4
6/07/2010,61.0,51,38.1,29.8,3.6,6.0,124,0.35,7.99,0.01,79.0,40.3,90,17,29.864,29.638,20.7,26.5,78.9
7/07/2010,51.2,87,47.6,30.0,3.1,4.8,87,0.96,8.6,0.01,59.8,46.0,92,69,30.229,29.835,15.0,19.6,59.8
8/07/2010,51.4,81,45.6,30.2,2.0,3.3,51,1.07,8.71,0.01,63.1,40.1,94,63,30.253,30.054,12.7,17.3,63.1
9/07/2010,56.3,67,44.0,30.1,2.8,4.3,90,1.07,8.71,0.0,70.3,39.1,94,35,30.232,29.931,20.7,26.5,79.1
10/07/2010,61.0,53,40.5,29.9,4.6,7.3,329,1.07,8.71,0.0,77.0,43.9,89,20,29.982,29.706,26.5,38.0,79.1
11/07/2010,61.5,46,38.9,29.8,5.1,7.8,321,1.07,8.71,0.0,77.7,42.9,80,20,29.908,29.614,24.2,34.5,79.1
12/07/2010,68.1,35,37.7,29.6,6.4,10.3,327,1.07,8.71,0.0,80.7,55.7,56,19,29.685,29.456,19.6,31.1,79.1
13/07/2010,71.6,31,38.5,29.5,5.3,8.3,320,1.07,8.71,0.0,83.8,56.9,47,17,29.677,29.442,32.2,48.3,81.1
14/07/2010,70.1,40,43.4,29.7,4.7,7.7,335,1.13,8.77,0.02,81.0,58.1,71,21,29.835,29.506,20.7,28.8,79.3
15/07/2010,66.9,42,35.7,29.9,3.7,6.5,350,1.13,8.77,0.0,83.6,48.4,86,10,29.98,29.816,19.6,29.9,80.8
16/07/2010,68.0,29,27.1,29.9,4.1,6.8,340,1.13,8.77,0.0,87.8,41.6,69,7,29.968000000000004,29.743,18.4,27.6,84.2
17/07/2010,68.2,34,35.1,29.8,2.5,4.1,58,1.13,8.77,0.0,87.2,46.0,61,11,29.903,29.741,12.7,18.4,83.6
18/07/2010,67.8,44,42.6,29.8,2.5,4.3,86,1.13,8.77,0.0,83.2,49.9,75,20,29.884,29.663,13.8,19.6,80.9
19/07/2010,65.0,50,43.3,29.7,3.9,6.1,311,1.14,8.78,0.01,87.0,45.4,79,16,29.914,29.618,25.3,39.1,83.5
20/07/2010,59.5,66,47.6,29.8,2.8,4.4,81,1.14,8.78,0.01,76.5,48.0,85,40,29.857,29.645,12.7,19.6,78.2
22/07/2010,65.9,54,47.2,29.7,5.5,6.8,331,1.16,8.8,0.02,82.0,52.0,85,24,29.849,29.582,18.4,27.6,80.4
23/07/2010,68.4,41,38.8,29.7,5.3,8.0,319,1.16,8.8,0.0,83.7,48.6,81,13,29.803,29.612,18.4,26.5,81.0
24/07/2010,62.5,61,48.2,29.9,2.9,5.2,139,1.16,8.8,0.0,71.6,54.4,82,42,29.958,29.742,9.2,16.1,78.7
25/07/2010,64.6,60,49.4,29.8,2.8,4.4,90,1.16,8.8,0.0,77.8,48.0,90,35,29.978,29.699,12.7,16.1,78.8
26/07/2010,67.9,43,40.3,29.7,2.4,4.1,133,1.16,8.8,0.0,85.8,45.4,82,17,29.867,29.595,16.1,19.6,82.7
27/07/2010,66.1,50,44.8,29.7,4.9,7.4,314,1.2,8.84,0.01,82.8,50.5,81,21,29.887,29.615,19.6,27.6,80.6
28/07/2010,63.7,74,54.5,29.9,2.7,4.6,87,1.25,8.89,0.01,76.2,57.5,90,43,29.985,29.789,11.5,16.1,78.0
29/07/2010,64.1,70,53.2,29.9,2.9,4.5,360,2.41,10.05,0.1,78.3,57.3,94,34,29.986,29.758000000000006,19.6,26.5,78.6
30/07/2010,63.3,73,53.3,29.9,2.0,3.4,50,2.43,10.07,0.01,79.5,50.4,94,38,29.956,29.766,17.3,24.2,79.8
31/07/2010,64.7,67,52.4,29.8,1.9,3.3,91,2.43,10.07,0.0,79.4,49.1,94,39,29.946,29.645,10.4,16.1,79.8
1/08/2010,63.4,72,52.8,29.7,2.9,4.2,4,0.53,10.63,0.04,79.2,54.8,92,35,29.825,29.526,23.0,33.4,79.4
2/08/2010,60.5,78,53.0,29.9,2.6,4.0,323,0.64,10.74,0.01,75.4,55.0,92,41,29.986,29.711,11.5,18.4,77.8
3/08/2010,60.9,70,49.9,29.9,3.2,4.9,306,0.67,10.77,0.01,76.7,48.6,93,38,30.019,29.797,18.4,27.6,78.8
4/08/2010,58.9,73,49.7,30.0,2.3,3.8,9,0.76,10.86,0.02,74.6,50.8,86,42,30.134,29.852,19.6,29.9,79.1
5/08/2010,57.8,73,48.2,30.0,2.0,3.4,27,0.8,10.9,0.01,72.1,44.2,94,38,30.103,29.853,20.7,28.8,78.5
6/08/2010,62.0,60,45.8,29.9,3.6,5.0,321,0.83,10.93,0.03,77.4,45.5,94,26,29.994,29.723000000000006,20.7,39.1,79.1
7/08/2010,65.8,49,43.6,29.7,5.4,6.3,323,0.83,10.93,0.0,80.5,48.3,84,21,29.832,29.593000000000004,16.1,21.9,79.2
8/08/2010,65.2,53,45.9,29.7,6.4,7.9,320,0.84,10.94,0.01,77.4,53.6,87,23,29.781,29.611,20.7,28.8,79.0
9/08/2010,59.8,69,49.1,29.8,1.5,2.2,323,0.85,10.95,0.01,71.6,50.0,86,43,29.896,29.727,15.0,19.6,78.3
10/08/2010,61.2,50,37.1,29.9,4.6,5.7,309,0.86,10.97,0.01,78.0,41.9,93,16,29.965,29.792,17.3,25.3,78.6
11/08/2010,62.8,44,37.1,29.8,6.8,10.0,314,0.86,10.97,0.0,80.5,44.9,75,15,29.939,29.661,27.6,36.8,79.1
12/08/2010,63.4,46,40.2,29.7,6.5,9.5,318,0.87,10.98,0.01,76.5,48.8,78,20,29.786,29.532,25.3,35.7,79.0
13/08/2010,61.4,39,32.6,29.7,5.3,8.0,313,0.87,10.98,0.0,78.8,42.8,81,13,29.773000000000003,29.625,21.9,31.1,77.8
14/08/2010,56.2,56,40.2,29.9,3.5,5.2,97,0.87,10.98,0.0,67.8,40.2,75,36,30.062,29.742,17.3,19.6,79.2
15/08/2010,61.8,65,49.3,30.0,3.5,5.4,109,0.87,10.98,0.0,73.5,46.1,85,47,30.12,29.851,13.8,18.4,79.0
16/08/2010,60.2,65,46.5,29.9,4.7,7.0,2,0.89,11.0,0.01,77.8,46.4,94,26,29.983,29.755,17.3,26.5,79.1
17/08/2010,61.7,53,38.8,29.9,3.5,5.9,332,0.9,11.01,0.01,79.9,41.3,94,16,30.036,29.842,18.4,26.5,79.1
18/08/2010,67.0,38,36.4,29.8,3.6,5.5,283,0.9,11.01,0.0,85.1,48.3,69,13,29.956,29.655,17.3,26.5,82.0
19/08/2010,62.6,53,44.9,29.6,6.0,8.9,308,1.06,11.17,0.02,68.6,55.1,89,41,29.774,29.556,17.3,27.6,79.1
20/08/2010,64.8,41,39.4,29.7,6.3,9.3,307,1.06,11.17,0.0,77.5,51.3,60,22,29.837,29.626,19.6,28.8,78.9
21/08/2010,62.7,43,35.9,29.8,3.3,5.1,305,1.06,11.17,0.0,81.2,44.5,78,16,29.91,29.77,16.1,21.9,79.2
22/08/2010,67.6,36,36.1,29.8,4.6,7.0,301,1.06,11.17,0.0,86.1,45.1,70,14,29.89,29.54,17.3,26.5,82.7
23/08/2010,67.5,43,43.6,29.8,6.4,9.6,298,1.06,11.17,0.0,77.7,51.6,68,24,30.082,29.488000000000003,21.9,32.2,78.9
24/08/2010,57.8,60,43.8,30.1,3.1,4.9,95,1.06,11.17,0.0,70.3,49.8,85,45,30.259,30.002,12.7,16.1,78.8
25/08/2010,60.8,53,39.1,30.1,2.1,3.7,125,1.06,11.17,0.0,77.7,40.2,90,11,30.225,29.926,16.1,18.4,78.9
26/08/2010,62.8,39,31.0,29.9,2.9,4.7,274,1.06,11.17,0.0,83.4,39.6,77,12,30.108,29.758000000000006,17.3,25.3,80.7
27/08/2010,65.9,32,32.3,29.7,5.3,8.0,288,1.06,11.17,0.0,84.1,44.6,64,13,29.837,29.445,24.2,33.4,81.2
28/08/2010,65.5,39,37.9,29.5,5.4,8.2,314,1.09,11.2,0.01,78.1,53.2,79,19,29.538,29.328000000000007,23.0,32.2,78.8
29/08/2010,66.8,29,32.9,29.5,7.4,11.2,299,1.09,11.2,0.0,77.8,53.2,62,16,29.598000000000006,29.359,23.0,34.5,78.2
30/08/2010,60.6,36,31.6,29.6,7.6,10.8,313,1.09,11.2,0.0,73.3,48.5,62,17,29.68,29.505,26.5,34.5,78.5
31/08/2010,58.7,49,38.8,29.8,4.3,6.5,95,1.09,11.2,0.0,67.1,47.4,71,32,29.95,29.63,15.0,21.9,78.7
1/09/2010,58.1,41,28.1,29.8,5.2,10.9,322,0.0,11.2,0.0,76.7,36.3,87,13,29.972,29.458,156.4,255.3,76.3
2/09/2010,53.9,48,34.1,30.0,4.6,6.9,111,0.0,11.2,0.0,63.1,43.5,62,35,30.276,29.737,19.6,21.9,63.1
3/09/2010,53.3,44,29.0,30.2,2.4,4.0,117,0.0,11.2,0.0,73.7,30.9,85,20,30.356,30.024,13.8,19.6,75.8
4/09/2010,62.4,31,26.4,29.8,4.8,7.8,336,0.0,11.2,0.0,83.0,38.0,66,11,30.05,29.578000000000007,20.7,29.9,80.3
5/09/2010,66.9,21,23.3,29.5,7.2,10.8,321,0.0,11.2,0.0,79.4,49.8,38,10,29.642,29.289,26.5,34.5,77.7
6/09/2010,56.2,24,15.2,29.6,10.2,14.9,336,0.0,11.2,0.0,65.3,41.5,57,6,30.046,29.308000000000003,34.5,50.6,67.4
7/09/2010,53.5,27,15.5,30.0,2.7,4.4,103,0.0,11.2,0.0,75.7,27.1,58,8,30.184,29.7,16.1,20.7,75.2
8/09/2010,59.5,49,38.1,29.7,7.9,11.3,311,0.15,11.35,0.02,74.6,45.2,85,24,29.731,29.565,24.2,34.5,78.7
9/09/2010,58.1,49,33.5,29.6,6.0,8.9,326,0.16,11.36,0.01,74.6,39.3,93,16,29.77,29.449,20.7,29.9,79.1
10/09/2010,56.0,28,22.7,29.7,10.2,14.8,327,0.16,11.36,0.0,63.7,48.0,45,18,29.929,29.449,25.3,46.0,63.7
11/09/2010,56.4,24,16.6,30.0,7.4,10.2,311,0.16,11.36,0.0,73.0,38.5,45,9,30.064,29.867,20.7,26.5,73.5
12/09/2010,58.5,22,15.6,30.0,6.3,9.0,314,0.16,11.36,0.0,75.6,36.2,52,10,30.108,29.828000000000007,23.0,26.5,75.0
13/09/2010,56.5,31,22.4,30.0,2.9,4.6,306,0.16,11.36,0.0,78.3,35.9,63,11,30.173,29.851,20.7,27.6,77.0
14/09/2010,59.4,29,21.7,29.9,5.3,7.7,309,0.16,11.36,0.0,79.3,36.6,68,8,30.092,29.713,23.0,31.1,77.6
15/09/2010,60.4,28,23.7,29.8,4.6,7.6,349,0.16,11.36,0.0,78.4,43.5,50,8,29.935,29.729,20.7,33.4,77.0
16/09/2010,59.2,37,26.1,29.9,3.3,5.4,354,0.16,11.36,0.0,79.6,36.6,81,10,30.048,29.779,17.3,26.5,77.8
17/09/2010,59.1,29,22.2,29.9,4.8,6.3,311,0.16,11.36,0.0,80.3,38.5,61,9,30.029,29.772,18.4,27.6,78.3
18/09/2010,57.6,40,26.9,29.9,5.4,7.4,290,0.16,11.36,0.0,81.6,36.8,70,8,30.089,29.778,25.3,33.4,79.3
19/09/2010,63.3,34,24.1,29.8,5.8,46.9,313,0.16,11.36,0.0,83.2,36.5,76,5,30.085,29.419,169.1,255.3,80.6
20/09/2010,65.1,31,31.2,29.5,10.1,69.7,320,0.17,11.37,0.01,78.6,45.8,57,18,29.877,29.35,172.5,255.3,78.5
21/09/2010,62.8,50,42.3,29.6,1.6,181.0,359,0.17,11.37,0.0,73.3,37.9,84,36,29.914,29.327,116.2,255.3,77.7
22/09/2010,58.6,51,38.6,29.6,3.9,100.4,336,0.17,11.37,0.01,73.3,45.4,84,27,29.799,29.468000000000004,115.0,255.3,78.0
24/09/2010,60.5,23,22.3,30.0,9.7,13.8,321,0.17,11.37,0.0,72.1,52.0,32,13,30.053,29.896,23.0,32.2,74.4
25/09/2010,61.2,24,22.2,30.0,5.1,7.8,353,0.17,11.37,0.0,73.9,43.9,57,14,30.165,29.931,18.4,26.5,75.2
26/09/2010,57.8,40,28.5,30.0,1.5,3.0,145,0.17,11.37,0.0,82.0,34.3,78,12,30.265,29.858,16.1,20.7,79.6
27/09/2010,62.1,30,27.5,29.9,3.4,5.6,86,0.17,11.37,0.0,79.8,45.1,58,12,29.996,29.812,16.1,25.3,78.1
28/09/2010,58.9,38,27.6,29.9,1.7,3.2,152,0.17,11.37,0.0,83.5,34.7,80,11,30.177,29.727,11.5,18.4,80.8
29/09/2010,65.4,25,26.3,29.8,6.8,10.2,93,0.17,11.37,0.0,77.2,51.3,57,11,29.939,29.585,20.7,29.9,76.8
30/09/2010,53.1,54,34.6,30.0,2.5,4.1,118,0.17,11.37,0.0,71.5,34.9,87,22,30.143,29.877,12.7,17.3,78.5
1/10/2010,53.8,46,30.6,30.1,3.1,5.1,121,0.0,11.48,0.0,72.3,34.7,77,16,30.25,30.012,16.1,19.6,77.3
2/10/2010,49.6,57,33.8,30.1,2.6,4.1,104,0.0,11.48,0.0,65.9,32.4,86,30,30.34,30.027,12.7,18.4,78.0
3/10/2010,52.7,41,25.0,30.0,1.8,3.4,20,0.0,11.48,0.0,76.1,34.1,80,12,30.167,29.865,18.4,26.5,76.2
4/10/2010,54.5,38,27.3,29.9,4.9,7.6,320,0.0,11.48,0.0,70.4,35.2,64,19,29.966,29.748,24.2,34.5,76.3
5/10/2010,53.9,46,31.1,30.0,2.0,3.6,92,0.0,11.48,0.0,71.7,34.9,79,21,30.189,29.903,13.8,18.4,76.7
6/10/2010,50.7,74,42.4,30.2,2.2,3.9,117,0.0,11.48,0.0,63.9,43.1,89,44,30.285,30.023000000000003,8.1,12.7,63.9
7/10/2010,55.6,52,35.0,30.0,3.5,5.9,318,0.0,11.48,0.0,72.5,37.2,90,19,30.257,29.782,28.8,41.4,77.7
8/10/2010,48.8,47,28.9,29.9,8.7,13.2,325,0.02,11.5,0.01,59.5,38.6,82,21,30.023000000000003,29.739,26.5,41.4,59.5
9/10/2010,46.9,40,23.4,30.0,10.9,16.3,322,0.02,11.5,0.0,53.9,42.3,50,27,30.108,29.947,24.2,34.5,53.9
10/10/2010,48.3,52,31.2,30.0,5.1,8.2,353,0.02,11.5,0.0,58.1,42.3,80,36,30.042,29.889,18.4,27.6,58.1
11/10/2010,48.5,54,29.4,30.0,2.6,4.5,28,0.03,11.51,0.01,65.5,31.9,86,19,30.12,29.904,16.1,25.3,75.2
12/10/2010,41.8,78,35.4,30.2,2.4,3.9,120,0.21,11.69,0.01,46.8,35.6,90,58,30.398000000000003,29.964,16.1,20.7,46.8
13/10/2010,41.3,73,31.9,30.4,1.5,2.8,131,0.22,11.7,0.01,58.4,26.7,93,31,30.566,30.267,10.4,16.1,58.4
14/10/2010,47.6,52,24.9,30.3,4.0,6.0,315,0.23,11.71,0.01,69.5,27.3,92,15,30.483,30.076,20.7,26.5,73.8
15/10/2010,54.6,29,19.8,30.0,6.9,10.1,331,0.23,11.71,0.0,68.5,35.2,64,15,30.09,29.797,20.7,28.8,72.8
16/10/2010,48.2,42,24.9,30.1,3.1,5.1,68,0.23,11.71,0.0,62.9,32.5,80,24,30.236,29.885,12.7,17.3,62.9
17/10/2010,45.8,55,26.9,30.0,3.8,6.1,331,0.23,11.71,0.0,65.8,27.0,87,20,30.233,29.887,17.3,26.5,74.9
18/10/2010,40.0,74,31.9,30.1,2.5,3.9,61,0.48,11.96,0.01,48.6,32.4,93,50,30.174,29.864,10.4,13.8,48.6
19/10/2010,41.3,66,27.8,30.1,3.3,5.0,304,0.49,11.97,0.01,61.6,25.8,94,24,30.282,30.009,16.1,21.9,61.6
20/10/2010,44.3,50,24.0,30.1,1.9,3.6,183,0.49,11.97,0.0,62.8,27.2,86,21,30.228,29.999,6.9,13.8,62.8
21/10/2010,44.0,59,27.9,30.0,1.6,3.1,174,0.49,11.97,0.0,64.3,25.4,88,22,30.184,29.669,8.1,13.8,64.3
22/10/2010,41.3,86,37.3,29.7,1.1,1.9,323,0.64,12.12,0.01,46.2,35.8,93,70,29.795,29.59,12.7,20.7,46.2
23/10/2010,44.9,57,30.1,29.7,8.0,11.9,323,0.64,12.12,0.0,51.6,39.3,93,40,29.787,29.565,25.3,34.5,51.6
24/10/2010,44.9,54,29.2,29.6,12.4,18.5,315,0.64,12.12,0.0,49.6,39.5,68,44,29.787,29.365,32.2,51.8,49.6
25/10/2010,36.6,62,24.3,29.4,11.2,17.4,326,1.0,12.48,0.02,48.6,27.0,91,34,29.652,29.109,29.9,42.6,48.6
26/10/2010,28.9,50,11.9,29.7,15.1,22.5,323,1.0,12.48,0.0,34.4,23.8,86,31,29.87,29.578000000000007,38.0,57.5,34.4
27/10/2010,30.4,37,7.0,30.2,13.9,20.9,327,1.0,12.48,0.0,36.2,26.0,50,25,30.489,29.855,32.2,47.2,36.2
28/10/2010,40.0,23,1.0,30.4,4.2,6.8,336,1.0,12.48,0.0,57.2,17.7,49,7,30.676,30.07,16.1,26.5,57.2
29/10/2010,53.4,22,14.7,30.0,15.8,22.1,321,1.0,12.48,0.0,61.0,47.4,30,10,30.106,29.824,32.2,42.6,61.0
30/10/2010,53.1,29,20.7,29.8,7.3,10.7,308,1.0,12.48,0.0,64.0,44.2,56,14,29.866,29.654,19.6,31.1,64.0
31/10/2010,43.0,51,25.6,29.9,8.8,12.9,319,1.06,12.54,0.01,50.4,35.8,88,31,30.129,29.696,20.7,34.5,50.4
1/11/2010,41.1,47,21.0,30.3,5.1,7.7,314,0.0,12.55,0.0,52.2,27.6,75,26,30.482,30.055,15.0,21.9,52.2
2/11/2010,44.7,47,23.9,30.4,2.3,4.1,76,0.0,12.55,0.0,69.0,28.4,76,22,30.527,30.22,17.3,27.6,75.9
3/11/2010,40.6,65,28.9,30.5,1.8,3.4,101,0.0,12.55,0.0,56.2,27.3,89,38,30.679,30.297,10.4,13.8,56.2
4/11/2010,36.4,57,19.0,30.4,1.4,2.7,118,0.0,12.55,0.0,55.6,22.1,91,17,30.569000000000006,30.248,9.2,11.5,55.6
5/11/2010,48.3,30,17.2,30.1,5.8,8.7,321,0.0,12.55,0.0,62.7,27.6,59,18,30.309,29.856,20.7,29.9,62.7
6/11/2010,54.4,28,20.0,29.9,7.2,10.5,323,0.0,12.55,0.0,69.6,34.0,59,13,30.036,29.808000000000003,20.7,28.8,72.9
7/11/2010,44.5,43,22.4,29.9,8.9,13.1,326,0.0,12.55,0.0,58.7,31.3,66,24,30.067,29.705,33.4,42.6,58.7
8/11/2010,49.9,29,16.9,29.6,6.9,10.6,324,0.0,12.55,0.0,65.2,32.0,60,15,29.801,29.403,23.0,33.4,72.1
9/11/2010,31.3,61,18.8,29.7,6.0,8.9,316,0.01,12.56,0.01,40.8,24.4,85,40,29.874,29.448,21.9,28.8,40.8
10/11/2010,28.5,54,12.4,30.0,6.5,9.5,325,0.01,12.56,0.0,36.8,20.3,88,26,30.148000000000003,29.825,19.6,26.5,36.8
11/11/2010,23.9,86,20.3,30.3,3.0,4.7,99,0.05,12.6,0.01,28.1,14.8,89,78,30.556,30.081,9.2,12.7,28.1
12/11/2010,26.3,56,11.2,30.4,4.7,7.4,347,0.07,12.62,0.01,39.8,10.2,87,21,30.557,30.287,16.1,24.2,39.8
13/11/2010,26.2,60,13.3,30.3,5.1,7.7,314,0.07,12.62,0.0,34.7,21.4,82,33,30.431,30.128,19.6,25.3,34.7
14/11/2010,28.0,49,10.8,30.0,9.1,13.3,318,0.07,12.62,0.0,34.4,16.5,85,36,30.183000000000003,29.707,25.3,39.1,34.4
15/11/2010,30.0,60,17.4,29.9,3.4,5.7,351,0.07,12.62,0.0,40.4,24.5,82,31,30.06,29.696,18.4,27.6,40.4
16/11/2010,31.2,63,19.7,29.7,10.8,16.1,324,0.07,12.62,0.0,36.8,27.6,91,45,29.957,29.54,26.5,39.1,36.8
17/11/2010,30.5,44,10.7,30.2,8.4,12.0,314,0.11,12.66,0.01,36.6,19.4,63,28,30.33,29.957,23.0,32.2,36.6
18/11/2010,43.0,22,6.5,30.0,16.9,23.7,314,0.11,12.66,0.0,50.1,35.9,28,18,30.15,29.799,29.9,43.7,50.1
19/11/2010,44.6,18,3.4,29.8,9.0,13.1,307,0.11,12.66,0.0,53.1,32.8,33,12,29.838,29.58,21.9,33.4,53.1
20/11/2010,46.9,19,6.4,29.5,14.8,21.9,318,0.11,12.66,0.0,55.0,40.1,43,13,29.652,29.406,31.1,46.0,55.0
21/11/2010,34.2,64,22.5,29.5,8.4,12.2,319,0.14,12.69,0.01,44.8,23.5,89,36,29.681,29.405,23.0,31.1,44.8
22/11/2010,23.4,51,7.4,29.9,10.9,15.8,308,0.14,12.69,0.0,27.9,20.0,85,32,30.045,29.576,27.6,40.3,27.9
23/11/2010,30.3,32,2.4,29.8,10.5,15.7,322,0.14,12.69,0.0,41.3,20.5,57,15,30.101,29.454,27.6,38.0,41.3
24/11/2010,15.8,47,-2.0,29.7,11.3,16.6,315,0.14,12.69,0.0,30.7,5.8,84,21,30.062,29.346,25.3,38.0,30.7
25/11/2010,15.6,26,-13.3,30.2,21.9,30.5,310,0.14,12.69,0.0,23.5,5.0,35,17,30.269,29.977,36.8,50.6,23.5
26/11/2010,29.9,40,8.2,30.2,13.0,18.6,312,0.14,12.69,0.0,39.9,10.4,48,31,30.292,30.102,34.5,51.8,39.9
27/11/2010,37.7,25,3.6,29.8,8.8,12.7,313,0.14,12.69,0.0,47.0,24.1,39,15,30.102,29.555,26.5,35.7,47.0
28/11/2010,32.4,35,4.9,29.4,7.2,10.6,319,0.14,12.69,0.0,42.3,23.8,76,17,29.554,29.244,19.6,31.1,42.3
29/11/2010,20.1,37,-2.2,30.0,7.7,12.0,333,0.14,12.69,0.0,24.4,14.9,51,28,30.38,29.521,23.0,36.8,24.4
30/11/2010,24.6,30,-3.4,30.3,13.4,19.2,284,0.14,12.69,0.0,32.6,14.3,47,15,30.367,30.148000000000003,29.9,44.9,32.6
2/12/2010,42.2,39,18.2,30.0,12.6,19.0,310,0.0,12.69,0.0,48.8,36.4,58,28,30.126,29.826,31.1,43.7,48.8
3/12/2010,44.8,31,15.9,29.8,13.8,17.1,301,0.0,12.69,0.0,46.2,42.3,41,28,29.851,29.802,31.1,44.9,46.2
4/12/2010,31.3,62,18.0,30.2,6.0,7.9,320,0.0,12.69,0.0,46.0,21.8,89,28,30.43,29.828000000000007,16.1,20.7,46.0
5/12/2010,28.8,67,18.9,30.4,2.7,4.1,68,0.0,12.69,0.0,43.1,18.8,86,45,30.487,30.267,11.5,13.8,43.1
6/12/2010,34.3,62,21.4,30.3,4.6,7.0,318,0.0,12.69,0.0,48.1,18.1,87,27,30.465,30.008000000000006,17.3,26.5,48.1
7/12/2010,34.3,40,12.0,30.2,7.8,11.9,322,0.0,12.69,0.0,46.2,23.0,60,23,30.382,29.951,25.3,34.5,46.2
8/12/2010,40.4,26,7.4,30.1,10.6,15.5,308,0.0,12.69,0.0,49.2,23.9,41,15,30.282,29.817,26.5,36.8,49.2
9/12/2010,39.6,37,14.9,29.9,15.3,22.5,315,0.0,12.69,0.0,44.0,29.5,57,25,29.998,29.766,34.5,49.5,44.0
10/12/2010,35.9,47,17.5,29.8,10.4,16.0,321,0.0,12.69,0.0,43.4,28.1,85,32,29.998,29.645,25.3,38.0,43.4
11/12/2010,25.2,41,4.6,30.2,7.2,11.4,329,0.0,12.69,0.0,29.0,17.0,57,31,30.425,29.947,16.1,26.5,29.0
12/12/2010,34.8,50,17.4,30.2,10.4,15.5,320,0.0,12.69,0.0,46.7,16.7,66,31,30.425,29.856,28.8,46.0,46.7
13/12/2010,45.8,27,13.6,29.9,19.5,28.5,315,0.0,12.69,0.0,53.2,42.6,42,16,29.975,29.77,35.7,57.5,53.2
14/12/2010,46.3,26,12.3,29.6,18.5,32.6,314,0.0,12.69,0.0,52.2,42.1,41,18,29.793000000000006,29.22,169.1,255.3,52.2
15/12/2010,34.1,55,18.5,29.6,10.2,14.7,313,0.01,12.7,0.01,44.3,22.9,88,27,29.942,29.362,27.6,42.6,44.3
16/12/2010,20.2,62,8.5,30.1,3.7,6.1,88,0.01,12.7,0.0,29.1,10.5,84,33,30.317,29.936,19.6,29.9,29.1
17/12/2010,15.7,73,8.5,30.2,1.7,3.1,111,0.01,12.7,0.0,24.1,10.0,83,53,30.329,30.131,8.1,11.5,24.1
18/12/2010,29.7,61,17.5,29.9,6.1,8.9,326,0.01,12.7,0.0,38.9,11.1,83,40,30.166,29.685,19.6,25.3,38.9
19/12/2010,36.5,71,27.8,29.6,4.5,6.5,311,0.13,12.82,0.01,41.8,32.3,93,52,29.72,29.418000000000006,16.1,21.9,41.8
