Day,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F)
9/02/2009,31.2,48,13.2,29.4,18.4,25.4,268,0.0,0.21,0.0,38.4,26.0,88,31,29.572,29.28,34.5,49.0,38.4
10/02/2009,25.8,56,11.3,29.7,3.5,5.4,334,0.0,0.21,0.0,33.5,14.8,88,36,29.997,29.537,18.4,25.0,33.5
11/02/2009,23.2,53,8.3,30.0,6.4,9.4,267,0.01,0.22,0.01,30.2,10.7,74,36,30.166,29.942,27.6,39.0,32.0
12/02/2009,25.9,48,7.9,30.1,5.6,8.4,298,0.01,0.22,0.0,35.9,11.4,81,25,30.265,29.911,17.3,26.0,35.9
13/02/2009,19.9,77,13.8,30.1,2.6,4.4,67,0.01,0.22,0.0,29.4,11.7,87,54,30.276,29.914,11.5,14.0,32.0
14/02/2009,20.5,75,13.6,30.1,3.6,5.4,266,0.03,0.24,0.01,31.5,12.3,87,43,30.163,29.874,19.6,25.0,32.0
15/02/2009,27.8,32,-0.0,30.2,13.8,19.7,270,0.03,0.24,0.0,35.7,16.9,80,17,30.286,29.989,32.2,40.0,35.7
16/02/2009,38.9,24,4.7,29.8,16.5,24.1,277,0.03,0.24,0.0,46.1,34.4,41,15,29.989,29.625,29.9,44.0,46.1
17/02/2009,32.5,44,12.2,29.6,16.6,22.9,267,0.03,0.24,0.0,37.2,26.9,81,27,29.812,29.473000000000006,34.5,48.0,37.2
18/02/2009,28.3,42,7.5,30.0,10.2,15.1,269,0.03,0.24,0.0,35.5,24.2,55,26,30.252,29.779,24.2,35.0,35.5
19/02/2009,27.8,37,4.3,30.3,14.5,20.0,256,0.03,0.24,0.0,34.9,22.1,52,23,30.354,30.156,27.6,38.0,34.9
20/02/2009,27.9,36,1.6,30.1,14.8,21.2,273,0.03,0.24,0.0,37.9,12.8,83,13,30.312,29.928,35.7,52.0,37.9
21/02/2009,34.7,29,3.1,30.2,10.9,15.3,266,0.03,0.24,0.0,50.8,8.4,80,15,30.348000000000006,30.089,27.6,36.0,50.8
22/02/2009,44.0,18,2.1,30.1,8.7,12.4,265,0.03,0.24,0.0,54.2,34.1,28,10,30.281,29.984,24.2,35.0,54.2
23/02/2009,44.7,47,24.8,29.9,9.7,14.0,266,0.03,0.24,0.0,53.3,38.3,68,27,30.059,29.844,26.5,39.0,53.3
24/02/2009,44.4,41,21.8,29.8,15.7,22.3,264,0.03,0.24,0.0,50.4,37.3,61,30,29.898000000000003,29.73,40.3,51.0,50.4
25/02/2009,45.8,32,15.6,29.8,10.4,14.8,265,0.03,0.24,0.0,56.3,33.5,85,13,29.957,29.632,25.3,36.0,56.3
26/02/2009,35.2,53,18.9,29.8,8.4,12.0,268,0.03,0.24,0.0,43.1,28.2,88,24,29.874,29.682,24.2,36.0,43.1
27/02/2009,26.7,45,6.6,30.0,9.8,14.7,278,0.03,0.24,0.0,34.0,18.8,79,25,30.475,29.753,28.8,47.0,34.0
28/02/2009,29.1,27,-2.0,30.5,4.6,7.1,349,0.03,0.24,0.0,42.9,16.3,50,10,30.629,30.404,21.9,32.0,42.9
1/03/2009,40.6,21,-0.3,30.3,7.4,10.6,242,0.0,0.24,0.0,58.3,14.1,53,9,30.534,29.947,23.0,38.0,58.3
2/03/2009,54.0,16,7.9,29.9,12.0,16.8,260,0.0,0.24,0.0,62.6,44.5,27,11,29.961,29.726,26.5,39.0,62.6
3/03/2009,48.7,30,17.9,29.8,11.8,16.7,266,0.0,0.24,0.0,58.5,31.6,49,19,29.887,29.705,27.6,43.0,58.5
4/03/2009,49.1,20,7.4,29.7,11.3,15.6,259,0.0,0.24,0.0,58.0,30.3,51,9,29.878,29.477,27.6,38.0,58.0
5/03/2009,38.5,26,5.1,29.7,12.8,18.0,266,0.0,0.24,0.0,46.9,29.3,47,14,29.913,29.473000000000006,36.8,52.0,46.9
6/03/2009,33.1,36,8.5,29.9,6.2,9.0,186,0.0,0.24,0.0,42.2,25.6,73,23,29.955,29.77,28.8,36.0,42.2
7/03/2009,27.8,66,17.0,29.8,5.8,8.4,263,0.03,0.27,0.01,38.2,19.5,89,35,29.952,29.738000000000003,27.6,37.0,38.2
8/03/2009,36.9,23,0.1,29.8,20.9,29.6,274,0.03,0.27,0.0,47.7,26.7,43,10,29.909,29.626,32.2,51.0,47.7
9/03/2009,34.1,41,9.6,29.7,6.9,11.0,81,0.03,0.27,0.0,44.6,16.7,87,21,29.844,29.542,24.2,40.0,44.6
10/03/2009,19.5,51,2.0,30.0,12.7,18.5,281,0.04,0.28,0.01,26.7,11.4,87,22,30.271,29.629,38.0,54.0,32.0
11/03/2009,29.2,35,2.7,30.2,7.6,10.5,35,0.04,0.28,0.0,46.5,11.9,67,11,30.378,30.069000000000006,19.6,30.0,46.5
12/03/2009,14.7,74,7.8,30.2,1.0,2.0,292,0.04,0.28,0.0,42.1,11.6,81,19,30.347,30.127,5.8,8.0,42.1
16/03/2009,46.3,22,9.5,30.0,12.2,17.0,258,0.04,0.28,0.0,57.5,36.0,28,15,30.076,29.873,24.2,37.0,57.5
17/03/2009,48.1,29,15.5,30.0,10.0,13.8,260,0.04,0.28,0.0,58.4,36.8,59,16,30.113000000000003,29.874,28.8,38.0,58.4
18/03/2009,42.3,42,19.9,30.1,3.9,5.8,16,0.04,0.28,0.0,53.3,29.0,64,20,30.261,29.967,18.4,22.0,53.3
19/03/2009,40.2,50,19.7,30.1,3.4,5.1,16,0.04,0.28,0.0,59.8,21.8,83,17,30.345,29.999,21.9,33.0,59.8
20/03/2009,41.4,44,20.0,30.0,2.7,4.2,329,0.04,0.28,0.0,57.6,27.8,68,22,30.127,29.944000000000006,18.4,25.0,57.6
21/03/2009,43.3,44,17.7,30.0,3.6,5.6,200,0.04,0.28,0.0,63.1,22.4,83,12,30.165,29.725,23.0,31.0,63.1
22/03/2009,48.7,29,13.4,29.5,8.8,12.7,245,0.04,0.28,0.0,63.7,30.7,64,8,29.754,29.181,29.9,36.0,63.7
23/03/2009,35.8,43,15.4,29.4,12.0,17.6,276,0.04,0.28,0.0,42.2,25.7,64,31,29.743,29.127,27.6,43.0,42.2
24/03/2009,30.7,36,6.5,29.9,14.1,20.9,278,0.04,0.28,0.0,39.1,25.6,47,27,29.995,29.686,29.9,45.0,39.1
25/03/2009,28.1,47,9.8,29.8,6.3,9.4,275,0.04,0.28,0.0,34.7,18.8,77,28,29.923,29.72,21.9,31.0,34.7
26/03/2009,16.8,82,12.3,30.0,3.0,4.9,71,0.04,0.28,0.0,25.1,9.7,89,72,30.412,29.687,20.7,26.0,32.0
27/03/2009,21.1,64,9.2,30.2,3.3,5.0,281,0.4,0.64,0.01,36.3,6.5,82,23,30.433000000000003,29.987,17.3,26.0,36.3
28/03/2009,33.1,37,9.3,29.9,11.5,16.7,262,0.4,0.64,0.0,43.6,24.8,46,23,30.017,29.775,27.6,38.0,43.6
29/03/2009,40.7,39,16.1,29.4,13.4,19.1,265,0.4,0.64,0.0,52.5,30.0,84,18,29.775,29.131,27.6,38.0,52.5
30/03/2009,23.3,37,0.8,29.7,14.5,20.9,273,0.4,0.64,0.0,30.1,18.1,50,27,30.029,29.314,28.8,41.0,32.0
31/03/2009,25.8,40,4.5,29.8,16.1,23.2,266,0.4,0.64,0.0,33.4,17.6,69,27,29.977,29.661,38.0,51.0,33.4
1/04/2009,24.8,67,14.1,29.7,5.9,8.3,263,0.0,0.64,0.0,34.0,10.2,87,27,30.066,29.51,18.4,26.0,34.0
2/04/2009,29.1,49,11.7,29.9,11.0,15.2,274,0.01,0.65,0.01,43.4,10.9,82,32,30.049,29.616,27.6,44.0,43.4
3/04/2009,36.5,60,22.8,29.4,6.1,8.2,310,0.01,0.65,0.0,46.1,28.7,93,30,29.616,29.35,24.2,35.0,46.1
4/04/2009,25.7,67,15.4,29.8,8.5,11.6,10,0.24,0.88,0.01,33.7,18.6,93,40,30.302,29.377,27.6,41.0,33.7
5/04/2009,22.0,55,7.7,30.5,3.9,5.9,309,0.25,0.89,0.01,33.9,9.5,78,29,30.651,30.27,17.3,24.0,33.9
6/04/2009,34.3,30,3.8,30.4,6.5,9.8,298,0.25,0.89,0.0,49.4,16.4,52,13,30.6,30.13,21.9,31.0,49.4
7/04/2009,45.3,18,3.9,30.0,12.5,17.1,250,0.25,0.89,0.0,55.3,36.3,31,12,30.13,29.893,26.5,36.0,55.3
8/04/2009,49.6,22,11.4,29.5,9.1,13.4,270,0.25,0.89,0.0,60.7,35.9,37,11,29.925,29.277,26.5,41.0,60.7
9/04/2009,37.4,47,16.3,29.6,10.5,15.0,277,0.25,0.89,0.0,49.5,29.1,91,21,29.905,29.32,34.5,43.0,49.5
10/04/2009,35.9,73,27.2,30.0,2.0,3.6,66,0.3,0.94,0.01,49.9,26.4,92,40,30.072,29.851,10.4,20.0,49.9
11/04/2009,35.0,77,28.2,29.8,1.7,2.8,340,0.31,0.95,0.01,49.9,25.6,89,46,29.982,29.717,8.1,13.0,49.9
12/04/2009,34.9,82,29.7,29.9,3.8,5.5,8,0.41,1.05,0.01,45.2,27.8,92,55,30.093000000000004,29.767,18.4,26.0,45.2
13/04/2009,42.7,45,20.7,29.9,7.1,10.3,267,0.41,1.05,0.0,55.7,26.0,91,21,30.142,29.783,25.3,33.0,55.7
14/04/2009,41.9,52,24.0,29.8,2.0,3.4,239,0.41,1.05,0.0,55.8,29.1,76,25,29.893,29.625,20.7,28.0,55.8
15/04/2009,43.4,54,25.3,29.6,2.8,4.5,61,0.41,1.05,0.0,58.6,26.6,85,21,29.682,29.497,18.4,26.0,58.6
16/04/2009,32.1,91,29.8,29.9,2.3,3.6,59,0.48,1.12,0.01,37.9,26.7,94,80,30.13,29.564,13.8,20.0,37.9
17/04/2009,30.8,92,28.8,30.1,0.0,0.0,50,0.55,1.19,0.01,32.4,29.4,94,90,30.195,30.088,0.0,0.0,32.4
18/04/2009,33.5,87,29.9,30.2,1.1,1.7,149,1.24,1.88,0.01,43.8,26.6,93,57,30.355,30.109,12.7,21.0,43.8
19/04/2009,37.4,58,22.0,30.4,4.5,6.5,263,1.3,1.94,0.01,50.8,18.4,91,30,30.553,30.143,18.4,24.0,50.8
20/04/2009,47.3,38,22.4,30.1,7.9,11.1,258,1.3,1.94,0.0,57.8,36.5,56,25,30.196,30.006,21.9,33.0,57.8
21/04/2009,51.7,35,23.2,30.0,6.8,10.0,269,1.3,1.94,0.0,64.2,37.2,68,18,30.139,29.872,21.9,26.0,64.2
